Timestep,Collisions,Density,Minimum_Separation
0,0,340,0.7499998
1,0,340,0.75
2,0,340,0.75
3,0,340,0.7499952
4,0,340,0.7499962
5,0,340,0.749999
6,0,340,0.7499988
7,0,340,0.75
8,0,340,0.749999
9,0,340,0.749999
10,0,340,0.7499998
11,0,340,0.749999
12,0,340,0.749999
13,0,340,0.749999
14,0,340,0.749999
15,0,340,0.749999
16,0,340,0.7499989
17,0,340,0.7499989
18,0,340,0.749999
19,0,340,0.7499989
20,0,340,0.749999
21,0,340,0.7499999
22,0,340,0.75
23,0,340,0.7499989
24,0,340,0.7499997
25,0,340,0.7499997
26,0,340,0.7499998
27,0,340,0.7499995
28,0,340,0.7499993
29,0,340,0.7499993
30,0,340,0.7499994
31,0,340,0.7499995
32,0,340,0.7499994
33,0,340,0.7499995
34,0,340,0.7499994
35,0,340,0.7499994
36,0,340,0.749999
37,0,340,0.7499988
38,0,340,0.749999
39,0,340,0.749999
40,0,340,0.7499959
41,0,340,0.7494941
42,0,340,0.7079593
43,0,340,0.6293412
44,0,340,0.5265693
45,0,342,0.4628226
46,0,344,0.4295204
47,0,346,0.4171902
48,0,346,0.4175173
49,2,346,0.3944985
50,2,346,0.3638877
51,2,348,0.3561981
52,2,350,0.3602068
53,4,352,0.3387714
54,6,356,0.327106
55,6,358,0.3195393
56,8,362,0.3098379
57,8,364,0.3628224
58,7,366,0.3663629
59,10,366,0.3235588
60,10,370,0.2691106
61,10,378,0.3134373
62,9,385,0.3493215
63,12,390,0.2957371
64,15,394,0.3174997
65,16,399,0.3081875
66,19,406,0.2965086
67,18,415,0.3209651
68,21,419,0.3225102
69,20,424,0.2969188
70,28,435,0.294222
71,30,446,0.2597056
72,35,458,0.2797372
73,36,472,0.2787318
74,40,479,0.2976914
75,46,489,0.2482495
76,50,495,0.2974758
77,49,504,0.2772758
78,54,507,0.2520782
79,56,530,0.2396753
80,46,546,0.257161
81,54,572,0.2601689
82,55,583,0.2219068
83,63,590,0.2056159
84,57,611,0.2164082
85,55,630,0.1770524
86,59,640,0.2128206
87,62,650,0.232651
88,65,674,0.2452808
89,69,693,0.2275259
90,73,710,0.1891598
91,75,730,0.1151
92,74,741,0.1421729
93,83,757,0.1481745
94,81,770,0.1434224
95,87,781,0.09096617
96,84,804,0.03159623
97,85,813,0.1189563
98,85,827,0.04871577
99,84,836,0.07458816
100,89,841,0.1549331
101,83,839,0.1504287
102,80,838,0.1238373
103,85,842,0.12052
104,89,844,0.1088665
105,91,861,0.1558082
106,90,863,0.122202
107,93,873,0.0797461
108,101,890,0.07964849
109,92,880,0.06219501
110,98,878,0.05240052
111,92,876,0.07915801
112,99,885,0.0539869
113,102,869,0.03126859
114,100,853,0.04562008
115,109,830,0.04567522
116,108,831,0.04572889
117,108,831,0.02524331
118,99,833,0.02507851
119,97,840,0.02493709
120,108,844,0.02481532
121,107,852,0.02470958
122,124,853,0.0246169
123,132,871,0.0245353
124,120,855,0.0244627
125,132,862,0.0218406
126,141,866,0.0217787
127,147,877,0.02169079
128,157,900,0.01923841
129,165,891,0.0127998
130,173,901,0.006042242
131,171,890,0.0006083846
132,177,917,0.002998501
133,184,952,0.002845407
134,199,964,0.003299206
135,201,975,0.0007470846
136,208,987,0.0012995
137,207,1018,0.002272308
138,214,1003,0.001754299
139,226,1004,0.00134699
140,232,1021,0.001029402
141,231,1010,0.0007845014
142,239,1032,0.0005983859
143,246,1045,0.0004598945
144,255,1082,0.0003599077
145,258,1104,0.0002909899
146,273,1131,0.0002472103
147,270,1122,0.0002235025
148,287,1167,0.0002157986
149,298,1204,0.0002209097
150,313,1218,0.000236094
151,323,1236,0.0002592951
152,333,1246,1.698732E-06
153,347,1290,0.0003226101
154,368,1342,0.0003667921
155,404,1439,0.0004266053
156,417,1523,0.0002012104
157,415,1531,0.0005397052
158,431,1577,0.0008798987
159,431,1539,0.0008342266
160,421,1557,0.004259288
161,438,1575,0.0008330047
162,457,1596,0.00363028
163,457,1631,0.000415802
164,450,1617,0.003154904
165,460,1649,0.001393914
166,495,1781,0.0007824898
167,501,1821,0.0001858026
168,516,1845,0.001155004
169,535,1900,0.0005494952
170,546,1949,0.000747025
171,547,1963,0.003197312
172,568,1985,0.0004515052
173,590,2071,9.700656E-05
174,627,2165,0.001078591
175,624,2124,0.001034394
176,623,2086,0.0002126396
177,658,2182,0.0002163053
178,708,2291,2.610683E-05
179,747,2360,0.0002692863
180,736,2335,0.002036989
181,729,2300,0.0001034141
182,760,2354,0.0004509985
183,747,2368,0.0005434155
184,772,2417,7.241964E-05
185,774,2401,0.0006349087
186,772,2365,1.978874E-05
187,761,2371,0.0002553016
188,793,2435,3.600121E-05
189,765,2362,0.0008280873
190,805,2429,0.000644505
191,791,2355,0.0007613897
192,750,2313,0.000630796
193,775,2407,7.70092E-05
194,789,2428,0.0004174113
195,805,2445,0.0001081824
196,784,2409,5.787611E-05
197,807,2430,0.0001851022
198,837,2502,0.0001249909
199,798,2370,7.179379E-05
200,774,2243,2.461672E-05
201,834,2393,1.719594E-05
202,809,2326,5.421042E-05
203,822,2338,8.690357E-05
204,852,2354,0.0001158118
205,850,2401,0.0001412034
206,839,2369,0.0001634061
