Timestep,Collisions,Density,Minimum_Separation
0,0,340,0.7499876
1,0,340,0.7499605
2,0,340,0.749862
3,0,340,0.749786
4,0,340,0.7492081
5,0,340,0.7487589
6,0,340,0.7428679
7,0,340,0.7237688
8,0,340,0.6782334
9,0,319,0.634874
10,0,296,0.6376519
11,0,270,0.6206007
12,0,265,0.607814
13,0,242,0.5982161
14,0,236,0.5910186
15,0,230,0.5856275
16,0,227,0.5815825
17,0,226,0.5785456
18,0,225,0.5762709
19,0,224,0.5745664
20,0,223,0.5732937
21,0,222,0.5723421
22,0,222,0.5716362
23,0,223,0.5711094
24,0,222,0.5707175
25,0,222,0.5704224
26,0,223,0.5702029
27,0,223,0.5700415
28,0,223,0.569917
29,0,223,0.5698272
30,0,226,0.5697544
31,0,226,0.5697015
32,0,226,0.5696596
33,0,227,0.5696276
34,0,227,0.5696039
35,0,229,0.5491163
36,0,230,0.5235149
37,0,235,0.4990869
38,0,239,0.4770046
39,0,241,0.4582931
40,0,247,0.4436684
41,0,249,0.410954
42,0,253,0.4230617
43,0,257,0.4316597
44,0,266,0.4717498
45,0,270,0.50069
46,0,268,0.4792847
47,0,272,0.4592354
48,0,271,0.4429449
49,0,273,0.4308518
50,0,273,0.4164511
51,1,276,0.3854266
52,1,279,0.3706487
53,2,283,0.3607144
54,1,280,0.3594408
55,1,283,0.3621463
56,3,289,0.3358403
57,2,286,0.3435327
58,2,288,0.3497297
59,1,288,0.354533
60,1,289,0.3581461
61,1,292,0.3607563
62,1,299,0.3619713
63,2,303,0.375305
64,2,311,0.3577501
65,2,315,0.3608103
66,2,321,0.3532425
67,1,325,0.3969602
68,2,324,0.3713943
69,1,325,0.3892662
70,0,325,0.4013797
71,2,336,0.3750434
72,4,336,0.3853766
73,4,339,0.3717651
74,5,351,0.3679645
75,5,350,0.3355369
76,5,360,0.3507761
77,6,365,0.3520665
78,6,364,0.3608554
79,6,371,0.2921508
80,6,382,0.2781012
81,8,393,0.3004361
82,8,394,0.2968011
83,11,403,0.2764005
84,12,412,0.2569301
85,8,411,0.2745087
86,11,420,0.2461855
87,15,433,0.2765149
88,16,430,0.2929812
89,15,440,0.3300871
90,16,443,0.2904864
91,17,445,0.2679566
92,18,453,0.2915072
93,18,460,0.2579598
94,18,467,0.2882273
95,19,468,0.2543021
96,17,473,0.278666
97,17,478,0.2541435
98,13,488,0.2914073
99,17,496,0.2730733
100,15,500,0.2546751
101,15,501,0.2870042
102,20,509,0.2972715
103,16,506,0.3135095
104,15,508,0.2964604
105,20,513,0.233807
106,21,521,0.2708198
107,19,522,0.2370468
108,23,531,0.2554776
109,24,530,0.2459873
110,24,535,0.2622065
111,27,538,0.259301
112,27,539,0.2644614
113,31,546,0.1396929
114,28,552,0.06974611
115,32,548,0.06981799
116,37,556,0.0698643
117,39,560,0.0699006
118,41,568,0.06993
119,39,569,0.04558261
120,41,573,0.0456309
121,42,579,0.04566249
122,48,579,0.04568671
123,47,581,0.04570501
124,53,580,0.045728
125,51,582,0.0457387
126,47,589,0.0457537
127,47,601,0.0094947
128,56,602,0.009384297
129,56,605,0.009306297
130,58,613,0.009240605
131,58,612,0.001632199
132,62,613,0.001702711
133,64,613,0.001754001
134,72,617,0.001787499
135,69,611,0.001816392
136,65,618,0.001842409
137,67,622,0.001868203
138,76,628,0.001896694
139,78,622,0.001918986
140,82,630,0.001939297
141,82,640,0.001951993
142,92,640,0.001960605
143,100,643,0.001954302
144,98,647,0.01018129
145,96,643,0.007898703
146,83,629,0.004622713
147,91,638,0.001057543
148,90,633,0.002496503
149,88,645,0.008552805
150,94,641,0.01491116
151,94,651,0.002376795
152,94,656,0.006827801
153,99,656,0.006002098
154,106,661,0.001983598
155,99,656,0.003478304
156,100,655,0.01120755
