Timestep,Collisions,Density,Minimum_Separation
0,0,340,0.7499995
1,0,340,0.75
2,0,340,0.75
3,0,320,0.7499995
4,0,320,0.75
5,0,320,0.749999
6,0,320,0.75
7,0,320,0.75
8,0,320,0.75
9,0,320,0.75
10,0,320,0.75
11,0,320,0.75
12,0,320,0.75
13,0,320,0.75
14,0,320,0.75
15,0,320,0.75
16,0,320,0.75
17,0,320,0.75
18,0,320,0.75
19,0,320,0.75
20,0,320,0.75
21,0,320,0.75
22,0,320,0.75
23,0,320,0.75
24,0,320,0.75
25,0,320,0.75
26,0,320,0.75
27,0,320,0.75
28,0,320,0.75
29,0,320,0.75
30,0,320,0.75
31,0,320,0.75
32,0,320,0.75
33,0,320,0.75
34,0,320,0.75
35,0,320,0.75
36,0,320,0.75
37,0,320,0.75
38,0,320,0.75
39,0,322,0.7395216
40,0,322,0.6865592
41,0,322,0.6313136
42,0,322,0.5765263
43,0,322,0.5249898
44,0,324,0.4793047
45,0,324,0.4431116
46,0,324,0.4180776
47,0,326,0.4052195
48,2,328,0.3767259
49,2,330,0.3701404
50,2,330,0.3766024
51,2,330,0.3834099
52,6,328,0.3835986
53,6,332,0.3732854
54,6,334,0.3591687
55,6,334,0.3721497
56,8,340,0.3867353
57,8,342,0.3793949
58,6,342,0.3787805
59,6,342,0.3810754
60,6,344,0.373002
61,6,348,0.3580366
62,6,348,0.374148
63,10,352,0.3899357
64,10,362,0.3892693
65,8,364,0.3889246
66,8,368,0.3899857
67,8,370,0.3923334
68,10,374,0.3945409
69,10,378,0.3924422
70,10,380,0.3932029
71,10,391,0.3864372
72,4,395,0.3793837
73,8,403,0.3686006
74,8,416,0.3699412
75,6,421,0.3937046
76,5,427,0.3874158
77,9,439,0.385603
78,12,447,0.3807519
79,13,455,0.3783318
80,13,462,0.355463
81,11,474,0.3649473
82,13,490,0.3767401
83,14,499,0.3636554
84,16,510,0.3710213
85,20,520,0.3626034
86,27,537,0.3540629
87,34,555,0.3481719
88,34,567,0.3530474
89,33,578,0.3470288
90,32,588,0.3502515
91,32,603,0.3450407
92,32,615,0.3396211
93,29,625,0.3413686
94,35,630,0.3340636
95,35,636,0.3290035
96,39,637,0.3323729
97,38,640,0.3363434
98,48,652,0.3373406
99,52,666,0.3372837
100,51,675,0.3320067
101,57,665,0.3234342
102,51,673,0.3149446
103,44,675,0.3101471
104,44,684,0.2995224
105,44,691,0.2887831
106,45,699,0.3034803
107,53,704,0.2594585
108,57,697,0.2993848
109,59,720,0.249298
110,56,715,0.1693128
111,65,729,0.1451668
112,65,734,0.1049086
113,65,736,0.07552029
114,67,750,0.06609771
115,69,749,0.02140638
116,69,735,0.02140638
117,76,742,0.02140638
118,78,743,0.02140638
119,78,736,0.01426643
120,86,762,0.01328522
121,87,781,0.01328522
122,90,789,0.01328522
123,101,800,0.01328522
124,103,818,0.01328522
125,102,832,0.01328522
126,121,852,0.003384888
127,127,860,0.003384888
128,130,870,0.003384888
129,148,916,0.003384888
130,162,931,0.003384888
131,171,958,0.003384888
132,181,994,0.003384888
133,183,977,0.003384888
134,182,1000,0.003384888
135,214,1024,0.002447709
136,223,1061,0.002447709
137,239,1079,0.002447709
138,262,1111,0.002447709
139,278,1146,0.002447709
140,297,1173,0.002447709
141,306,1202,0.002447709
142,317,1192,0.002447709
143,328,1253,6.398559E-05
144,357,1303,6.398559E-05
145,378,1348,6.398559E-05
146,398,1372,6.398559E-05
147,413,1388,6.398559E-05
148,425,1425,6.398559E-05
149,447,1482,6.398559E-05
150,452,1507,6.398559E-05
151,451,1510,6.398559E-05
152,460,1544,6.398559E-05
153,456,1566,6.398559E-05
154,477,1588,6.398559E-05
155,520,1693,6.398559E-05
156,530,1715,6.398559E-05
157,529,1724,6.398559E-05
158,541,1758,6.398559E-05
