Timestep,Collisions,Density,Minimum_Separation
0,0,340,0.75
1,0,357,0.5875762
2,0,367,0.6557283
3,0,364,0.6772301
4,0,361,0.7008204
5,0,352,0.7208526
6,0,348,0.7404624
7,0,343,0.7473451
8,0,332,0.7499982
9,0,329,0.7479647
10,0,331,0.6814778
11,0,333,0.6552027
12,0,329,0.5872
13,0,331,0.5780421
14,1,331,0.4757378
15,1,326,0.4565956
16,0,321,0.5235219
17,0,316,0.6092537
18,0,310,0.6093137
19,0,308,0.6093738
20,0,306,0.6823894
21,0,299,0.7199417
22,0,296,0.7499952
23,0,297,0.6872875
24,0,286,0.6873234
25,0,280,0.6873329
26,0,278,0.7200648
27,0,275,0.7499984
28,0,270,0.6987422
29,0,269,0.7500006
30,0,268,0.691761
31,0,267,0.7147774
32,0,263,0.7425231
33,0,265,0.7486568
34,0,263,0.7500003
35,0,263,0.7500007
36,0,263,0.7500007
37,0,261,0.7500007
38,0,265,0.7383471
39,0,266,0.733507
40,0,267,0.7499996
41,0,265,0.7467209
42,0,263,0.7251341
43,0,264,0.7399049
44,0,262,0.6106992
45,0,262,0.5817904
46,0,260,0.5772781
47,1,261,0.4339069
48,1,259,0.3291972
49,1,258,0.3429765
50,1,257,0.4278068
51,0,256,0.5400601
52,0,252,0.6472967
53,0,251,0.7396942
54,0,249,0.7499991
55,0,249,0.7336596
56,0,251,0.7424362
57,0,255,0.7442819
58,0,251,0.7500007
59,0,252,0.7500007
60,0,254,0.7500007
61,0,252,0.7500007
62,0,253,0.7294939
63,0,256,0.7499971
64,0,253,0.7500007
65,0,251,0.7500007
66,0,250,0.7390913
67,0,252,0.7499955
68,0,246,0.7407509
69,0,246,0.7499949
70,0,247,0.7506386
71,0,250,0.7391668
72,0,248,0.7492253
73,0,245,0.7381498
74,0,246,0.6929567
75,0,244,0.7219399
76,0,241,0.7424387
77,0,241,0.7423019
78,0,242,0.7499923
79,0,241,0.7505812
80,0,241,0.7153633
81,0,240,0.7249671
82,0,239,0.7251769
83,0,241,0.7212511
84,0,238,0.7438638
85,0,235,0.7500045
86,0,237,0.7354974
87,0,237,0.7499979
88,0,234,0.750066
89,0,231,0.7149438
90,0,233,0.7321324
91,0,235,0.7408728
92,0,235,0.7235236
93,0,231,0.7139978
94,0,234,0.7310904
95,0,234,0.735299
96,0,232,0.750003
97,0,232,0.7319391
98,0,229,0.7428198
