Timestep,Collisions,Density,Minimum_Separation
0,0,340,0.7499995
1,0,340,0.75
2,0,340,0.75
3,0,320,0.7499995
4,0,320,0.7489609
5,0,318,0.749999
6,0,314,0.749926
7,0,307,0.746768
8,0,307,0.7414017
9,0,307,0.735836
10,0,307,0.7300558
11,0,305,0.724061
12,0,303,0.7178221
13,0,301,0.7114334
14,0,299,0.718853
15,0,286,0.7158871
16,0,284,0.7053576
17,0,277,0.695179
18,0,277,0.6853409
19,0,274,0.6758289
20,0,271,0.6874434
21,0,264,0.6938372
22,0,259,0.6841989
23,0,258,0.6750021
24,0,257,0.6660933
25,0,254,0.6574264
26,0,252,0.6489096
27,0,252,0.6406436
28,0,251,0.6328421
29,0,251,0.6254902
30,0,248,0.6184502
31,0,246,0.6118875
32,0,240,0.605751
33,0,239,0.5998678
34,0,238,0.5944571
35,0,239,0.6119586
36,0,239,0.6319959
37,0,239,0.6534449
38,0,234,0.6759993
39,0,228,0.6984856
40,0,228,0.6911318
41,0,228,0.6607684
42,0,227,0.606658
43,0,225,0.5566259
44,0,225,0.5125141
45,0,223,0.4759814
46,0,220,0.4488825
47,0,220,0.4329934
48,0,219,0.4147254
49,0,218,0.4248165
50,0,217,0.4271486
51,0,207,0.427862
52,0,209,0.4293324
53,0,209,0.4315646
54,0,208,0.4325499
55,0,205,0.4321475
56,0,204,0.4299591
57,0,201,0.4209754
58,0,199,0.4212262
59,0,199,0.4200852
60,0,197,0.4193783
61,0,195,0.4180506
62,0,193,0.4162648
63,0,194,0.4146655
64,0,202,0.4135208
65,0,201,0.4125025
66,0,202,0.4086188
67,0,199,0.4067458
68,2,197,0.3983488
69,2,196,0.3947672
70,2,199,0.3962722
71,3,197,0.3976557
72,3,195,0.398847
73,1,192,0.3997167
74,0,189,0.4002056
75,0,188,0.4003508
76,0,189,0.4005601
77,0,190,0.4006071
78,2,193,0.3981263
79,2,190,0.3981358
80,0,194,0.4045042
81,0,194,0.409409
82,0,193,0.4063984
83,0,193,0.4033718
84,0,197,0.402962
85,0,196,0.4000015
86,0,195,0.4043804
87,0,193,0.4081224
88,0,193,0.4033274
89,0,194,0.4070579
90,0,193,0.4105041
91,0,190,0.4017978
92,0,191,0.4016502
93,0,194,0.405512
94,0,192,0.412908
95,0,193,0.4120955
96,1,192,0.3958343
97,1,196,0.3923953
98,1,196,0.3946695
99,1,194,0.3968594
100,1,198,0.3985015
101,2,198,0.3994954
102,0,199,0.4045164
103,0,198,0.4095464
104,1,200,0.3996232
105,1,201,0.3955477
106,1,207,0.3963021
107,1,208,0.3984441
108,1,214,0.3999286
109,0,218,0.4000099
110,0,219,0.4000004
111,1,222,0.3998547
112,1,226,0.3996748
113,1,228,0.3999859
114,0,230,0.400003
115,1,233,0.3999999
116,0,236,0.400001
117,1,238,0.3986373
118,2,238,0.3371741
119,2,237,0.2040809
120,1,239,0.07432063
121,1,239,0.03044933
122,1,246,0.03044933
123,2,248,0.03044933
124,1,250,0.03044933
125,2,249,0.03044933
126,2,253,0.03044933
127,2,258,0.03044933
128,1,262,0.03044933
129,1,263,0.03044933
130,2,265,0.03044933
131,2,268,0.03044933
132,2,270,0.03044933
133,2,279,0.03044933
134,4,288,0.03044933
135,3,292,0.03044933
136,3,292,0.03044933
137,3,295,0.005112112
138,4,298,0.005112112
139,7,296,0.005112112
140,8,298,0.005112112
141,7,299,0.005112112
142,8,303,0.005112112
143,9,304,0.005112112
144,9,311,0.005112112
145,11,313,0.005112112
146,11,316,0.005112112
147,10,320,0.005112112
148,8,327,0.005112112
149,10,331,0.005112112
150,9,337,0.005112112
151,15,361,0.005112112
152,21,361,0.005112112
153,22,364,0.005112112
154,22,370,0.005112112
155,24,373,0.00428766
156,26,376,0.00428766
157,24,382,0.00428766
158,26,380,0.003801167
