Timestep,Collisions,Density,Minimum_Separation
0,0,340,0.75
1,0,340,0.7066604
2,0,340,0.6694287
3,0,340,0.6375799
4,0,340,0.6104553
5,0,340,0.5874491
6,0,340,0.5680102
7,0,340,0.5516418
8,0,340,0.5378978
9,0,340,0.5263851
10,0,340,0.5167602
11,0,340,0.508723
12,0,340,0.5020205
13,0,340,0.496431
14,0,356,0.4917694
15,0,364,0.4878166
16,0,368,0.4845694
17,0,368,0.4819209
18,0,368,0.4796489
19,0,368,0.4777445
20,0,368,0.4761439
21,0,380,0.4747972
22,0,384,0.4736609
23,0,384,0.472701
24,0,384,0.4718853
25,0,384,0.4711936
26,0,386,0.470603
27,0,390,0.4700982
28,0,394,0.4696666
29,0,398,0.452698
30,0,400,0.4152346
31,2,402,0.3862047
32,2,400,0.3673004
33,4,394,0.3573813
34,4,394,0.353812
35,4,390,0.3545261
36,4,388,0.3547574
37,4,390,0.3558102
38,4,386,0.357134
39,4,386,0.3586266
40,4,384,0.3602109
41,4,382,0.3617227
42,6,382,0.3629394
43,6,378,0.3640985
44,8,378,0.3651917
45,8,386,0.3629901
46,8,387,0.3607547
47,8,389,0.3598058
48,8,389,0.3569669
49,8,389,0.3565668
50,8,391,0.3579131
51,10,391,0.3591656
52,14,391,0.36036
53,14,395,0.3614846
54,14,397,0.3625329
55,14,397,0.3633054
56,14,397,0.3622716
57,18,391,0.3631116
58,18,389,0.3636131
59,24,390,0.3637612
60,26,390,0.363627
61,26,388,0.3191102
62,26,389,0.363488
63,28,391,0.3632042
64,32,391,0.3628863
65,34,391,0.3624786
66,36,389,0.3389146
67,34,389,0.3345897
68,38,395,0.321226
69,36,403,0.3156368
70,40,407,0.2857313
71,46,413,0.2999945
72,46,419,0.3186884
73,48,421,0.2958316
74,50,429,0.3011045
75,49,445,0.324602
76,50,449,0.3125717
77,53,460,0.2878526
78,57,468,0.2970338
79,60,478,0.3036423
80,61,485,0.2861519
81,63,506,0.2736356
82,68,518,0.2941849
83,71,540,0.2581857
84,67,566,0.2921673
85,73,574,0.271962
86,77,594,0.2338231
87,75,624,0.271075
88,77,640,0.2183425
89,79,662,0.2716716
90,82,681,0.2393325
91,86,706,0.2446006
92,85,728,0.1899579
93,88,737,0.2248441
94,105,752,0.2043857
95,113,772,0.206928
96,120,797,0.2410194
97,127,808,0.219822
98,129,819,0.2224171
99,131,834,0.2213346
100,133,855,0.2239651
101,133,872,0.2005752
102,134,882,0.2211203
103,131,903,0.1985645
104,126,924,0.1780128
105,127,945,0.1582567
106,133,956,0.1554409
107,144,969,0.161314
108,140,980,0.1741561
109,136,978,0.1472408
110,138,968,0.1306798
111,140,960,0.1103879
112,134,967,0.02683258
113,135,966,0.0252839
114,139,976,0.02389199
115,137,970,0.01757041
116,146,975,0.01676059
117,147,982,0.01602942
118,145,992,0.015369
119,143,988,0.01477259
120,151,999,0.0142338
121,154,995,0.01374719
122,155,998,0.01330751
123,154,987,0.01258552
124,153,988,0.01027137
125,154,1010,0.008188903
126,164,1020,0.006314456
127,174,1022,0.004627705
128,183,1039,0.003109515
129,182,1042,0.001743197
130,188,1069,0.0005134344
131,202,1073,0.0005934238
132,213,1072,0.001589358
133,228,1090,0.002485871
134,235,1124,0.00276375
135,238,1152,0.002366491
136,248,1190,0.002018711
137,258,1211,0.001715081
138,262,1235,0.001450639
139,284,1266,0.001220431
140,298,1296,0.0010207
141,308,1295,0.0008479804
142,333,1336,0.0006987192
143,351,1381,0.0005697701
144,368,1398,0.00045879
145,388,1438,0.0003633685
146,404,1479,0.0002788901
147,418,1517,0.00021098
148,455,1552,0.00015085
149,449,1571,0.000169903
150,454,1600,0.0005635917
151,485,1636,0.00049752
152,502,1682,0.0007541776
153,517,1712,0.0005382895
154,524,1696,0.001701415
155,562,1779,0.00153929
156,557,1784,0.0008369088
157,569,1824,0.0002171993
158,612,1971,0.0003293157
159,607,1963,0.0001866221
160,627,2032,0.001235396
161,636,2124,0.001295507
162,661,2161,0.0011549
163,670,2155,0.0008897036
164,679,2173,0.0005594045
165,696,2204,7.754564E-05
166,699,2250,6.303191E-06
167,715,2196,0.000247106
168,731,2213,0.000138104
169,740,2245,0.0005120039
170,722,2265,0.0004538
171,692,2157,0.0002593994
172,723,2201,0.0002932549
173,730,2216,0.0007243156
174,731,2201,0.0003018975
175,709,2080,0.0002883077
176,724,2096,0.000305891
177,725,2113,1.138449E-05
178,731,2213,0.0002464652
179,734,2195,0.0001909733
180,771,2241,0.0003407001
181,776,2304,0.0003909171
182,776,2334,0.001445606
183,814,2402,0.00055632
184,850,2410,0.0005567074
185,844,2430,0.001420021
186,868,2434,0.0001906753
187,890,2421,4.172325E-07
188,892,2438,0.0007093027
189,890,2473,0.0003623962
190,885,2534,0.0001100302
191,893,2487,9.289384E-05
192,875,2396,0.0004894137
193,818,2279,8.456409E-05
194,822,2259,0.0005057752
195,830,2242,0.0006155968
196,804,2213,0.0001010001
197,786,2186,0.000420332
198,768,2140,0.0008994937
199,785,2182,1.052022E-05
200,739,2071,0.0001729131
201,699,1966,0.0001786947
202,695,1922,0.0009222031
