Timestep,Collisions,Density,Minimum_Separation
0,0,100,1.247248
1,0,100,1.242729
2,0,100,1.236601
3,0,100,1.229174
4,0,100,1.220735
5,0,100,1.211456
6,0,100,1.201535
7,0,100,1.19108
8,0,100,1.180203
9,0,100,1.168984
10,0,100,1.157503
11,0,100,1.145798
12,0,100,1.133926
13,0,100,1.121916
14,0,100,1.109792
15,0,100,1.097577
16,0,100,1.085303
17,0,100,1.07296
18,0,100,1.060582
19,0,100,1.048158
20,0,100,1.035708
21,0,100,1.023242
22,0,100,1.010757
23,0,100,0.9982483
24,0,100,0.9857292
25,0,100,0.9732076
26,0,100,0.960674
27,0,100,0.9481331
28,0,100,0.9355889
29,0,100,0.9230412
30,0,100,0.9104887
31,0,100,0.8979344
32,0,100,0.8853792
33,0,100,0.8728216
34,0,100,0.860261
35,0,100,0.8476998
36,0,100,0.8351429
37,0,100,0.8225809
38,0,100,0.8100181
39,0,100,0.7974564
40,0,100,0.7848929
41,0,100,0.7723303
42,0,100,0.7597672
43,0,200,0.7472036
44,0,200,0.7346415
45,0,200,0.722077
46,0,200,0.7095146
47,0,200,0.6969495
48,0,200,0.6843867
49,0,200,0.6718217
50,0,200,0.6592588
51,0,200,0.6466947
52,0,200,0.6341305
53,0,200,0.6215668
54,0,200,0.6090031
55,0,200,0.596441
56,0,200,0.5838804
57,0,200,0.5713257
58,0,200,0.5587753
59,0,200,0.5462404
60,0,200,0.5337445
61,0,200,0.5213232
62,0,200,0.5088522
63,68,300,0.4874273
64,56,268,0.4000219
65,60,284,0.3958114
66,60,300,0.295034
67,68,300,0.22815
68,76,300,0.261268
69,84,300,0.3802503
70,84,308,0.3205681
71,76,312,0.3154831
72,84,316,0.3456931
73,68,316,0.2641586
74,68,336,0.2799492
75,60,352,0.3723023
76,40,348,0.2834822
77,24,356,0.2556917
78,20,352,0.3279085
79,12,336,0.32456
80,12,344,0.1773926
81,20,340,0.1302253
82,4,352,0.1830584
83,4,356,0.3358916
84,4,360,0.4858912
85,0,356,0.5111076
86,8,360,0.4802431
87,0,384,0.5163118
88,0,384,0.5132056
89,0,400,0.5049322
90,4,436,0.4667964
91,4,460,0.453373
92,4,488,0.4995347
93,8,564,0.4826238
94,20,624,0.2715891
95,40,716,0.1686133
96,56,862,0.08139972
97,72,1016,0.1547404
98,100,1196,0.106013
99,134,1364,0.1076893
100,152,1532,0.06201984
101,160,1698,0.09803668
102,194,1874,0.05381076
103,218,2016,0.03293249
104,262,2090,0.09936744
105,264,2134,0.05236163
106,274,2130,0.008847932
107,254,2148,0.0227077
108,268,2050,0.02643891
109,240,1922,0.06554127
110,192,1796,0.1227248
111,164,1664,0.1635759
112,136,1476,0.03345696
113,140,1324,0.1024844
114,134,1160,0.1497572
115,110,1020,0.1116028
116,100,896,0.1924137
117,76,812,0.03990243
118,40,724,0.06560446
119,36,642,0.04652296
120,36,578,0.1351534
121,36,550,0.1770093
122,36,510,0.2704611
123,28,460,0.1644809
124,20,436,0.2063811
125,32,400,0.2654223
126,24,388,0.04483248
127,20,388,0.2682639
128,20,380,0.2374658
129,20,384,0.1660772
130,16,344,0.2429704
131,20,328,0.1826384
132,20,328,0.1123766
133,36,320,0.1622009
134,40,320,0.1480347
135,24,324,0.1521618
136,32,318,0.2667963
137,24,338,0.1575739
138,32,318,0.11604
139,36,310,0.1904438
140,30,306,0.1728427
141,24,304,0.06905204
142,26,300,0.09122238
143,32,284,0.2162126
144,28,280,0.2761362
145,24,274,0.2428778
146,18,272,0.1993214
147,16,254,0.1934515
148,20,244,0.2718554
149,22,242,0.1699627
150,22,228,0.1577981
151,18,200,0.1595906
152,20,197,0.1165869
153,18,189,0.1804685
154,18,187,0.2700826
155,4,181,0.2849223
156,6,176,0.3005155
157,6,166,0.1679378
158,4,160,0.1392348
159,10,142,0.2021135
160,10,140,0.2711794
161,10,130,0.4191519
162,4,118,0.4806284
163,8,122,0.4029614
164,8,122,0.2647152
165,8,124,0.2159871
166,6,112,0.2967716
167,10,114,0.3657427
168,10,108,0.3712679
169,6,104,0.3022955
170,12,102,0.3064907
171,12,96,0.3526851
172,8,96,0.2282121
173,4,86,0.1955312
174,2,86,0.3548965
175,2,84,0.3857899
176,4,86,0.3959812
177,2,80,0.3642166
178,6,78,0.3972641
179,4,76,0.4874092
180,2,64,0.4550174
181,2,66,0.360807
182,4,64,0.3999616
183,2,56,0.1936048
184,2,48,0.1404743
185,4,46,0.279154
186,2,50,0.2219253
187,2,48,0.2607228
188,2,44,0.4349695
189,0,34,0.5870106
190,0,30,0.5516117
191,2,30,0.2845318
192,2,30,0.1584617
193,2,30,0.2574283
194,0,24,0.5086217
195,0,24,0.5572062
196,0,24,0.5580524
197,0,22,0.5343568
198,0,20,0.563253
199,0,20,0.560285
200,2,20,0.4646911
201,2,20,0.4964918
202,0,18,0.5784125
203,0,16,0.5507218
204,2,14,0.4205595
205,2,18,0.3962971
206,2,20,0.4788705
207,0,20,0.5922744
208,0,20,0.5950982
209,0,20,0.5996598
210,0,22,0.605719
211,0,20,0.6130915
212,0,20,0.6216645
213,0,20,0.6285584
214,0,20,0.584441
215,0,20,0.5464216
216,0,18,0.5358596
217,0,18,0.5717086
218,0,16,0.603707
219,0,16,0.6296726
220,0,14,0.5802534
221,0,14,0.5107232
222,0,14,0.5501397
223,0,12,0.5950175
224,0,12,0.6285563
225,0,14,0.6540497
226,0,12,0.6753592
227,0,10,0.6959297
228,0,10,0.7186277
229,0,10,0.7456653
230,0,10,0.7785715
231,0,10,0.8182138
232,0,10,0.8648903
233,0,10,0.9184628
234,0,8,0.9785002
235,0,8,1.04441
236,0,8,1.114916
237,0,8,1.143145
238,0,8,1.171675
239,0,6,1.20049
240,0,8,1.229571
241,0,4,1.258904
242,0,4,1.288461
243,0,4,1.318227
244,0,6,1.217445
245,0,6,1.186991
246,0,4,1.123566
247,0,4,1.062666
248,0,4,1.004762
249,0,2,0.9504585
250,0,2,0.9003782
251,0,2,0.8553239
252,0,4,0.8161205
253,0,4,0.7836521
254,0,4,0.7588111
255,0,4,0.7423607
256,0,2,0.7348628
257,0,2,0.7366141
258,0,2,0.7475375
259,0,2,0.7672558
260,0,2,0.7951081
261,0,2,0.8302848
262,0,2,0.8719035
263,0,2,0.919081
264,0,2,0.9710192
265,0,2,1.026986
266,0,2,1.086363
267,0,2,1.148629
268,0,2,1.213332
269,0,0,1.663112
270,0,0,1.684483
271,0,0,1.711433
272,0,0,1.743695
273,0,0,1.780983
274,0,0,2.30011
275,0,2,1.370085
276,0,0,2.365597
277,0,0,1.814083
278,0,0,1.736104
279,0,0,1.627626
280,0,0,1.507248
281,0,0,2.489948
282,0,0,2.487554
283,0,0,6.423703
284,0,0,4.421426
285,0,0,4.344453
286,0,0,4.246531
287,0,0,3.925658
288,0,0,3.870247
289,0,0,3.815985
290,0,0,15.79933
291,0,0,24.86684
