Timestep,Collisions,Density,Minimum_Separation
0,0,100,1.246611
1,0,100,1.241104
2,0,100,1.233834
3,0,100,1.225242
4,0,100,1.215646
5,0,100,1.205315
6,0,100,1.194409
7,0,100,1.183089
8,0,100,1.171457
9,0,100,1.159582
10,0,100,1.147529
11,0,100,1.135357
12,0,100,1.123086
13,0,100,1.110735
14,0,100,1.098331
15,0,100,1.085889
16,0,100,1.073411
17,0,100,1.060911
18,0,100,1.048402
19,0,100,1.035871
20,0,100,1.023333
21,0,100,1.010789
22,0,100,0.9982293
23,0,100,0.985679
24,0,100,0.9731153
25,0,100,0.9591345
26,0,100,0.9048663
27,0,100,0.8850861
28,0,100,0.8662981
29,0,100,0.8384093
30,0,100,0.7794697
31,0,100,0.759657
32,0,100,0.728461
33,0,101,0.6824488
34,0,101,0.6477466
35,0,101,0.6329213
36,0,107,0.6602037
37,0,108,0.6490203
38,0,114,0.6403812
39,0,117,0.6332182
40,0,122,0.6266322
41,0,132,0.5826052
42,0,132,0.5782652
43,1,137,0.4947302
44,1,139,0.4929261
45,1,146,0.4455976
46,1,151,0.4568451
47,1,156,0.4700927
48,1,159,0.4514288
49,1,162,0.4386724
50,1,164,0.4560713
51,1,167,0.4500012
52,2,170,0.4471175
53,2,171,0.4451534
54,2,170,0.4206881
55,2,173,0.4420531
56,3,175,0.4405291
57,3,178,0.438951
58,2,180,0.4331505
59,3,185,0.4288471
60,2,193,0.4249752
61,2,189,0.3819196
62,3,192,0.3985164
63,2,194,0.4039216
64,3,200,0.3982533
65,3,199,0.3667422
66,3,200,0.4022126
67,3,202,0.4352939
68,4,210,0.4613386
69,4,211,0.4407685
70,3,221,0.4517567
71,1,226,0.4520794
72,2,225,0.4420068
73,3,226,0.4882839
74,3,233,0.4423163
75,3,238,0.4318391
76,4,240,0.4070507
77,4,243,0.4232379
78,5,249,0.4465237
79,5,248,0.44532
80,4,256,0.415931
81,5,266,0.4261813
82,4,272,0.4391778
83,3,287,0.4274977
84,6,298,0.4548928
85,4,311,0.4368944
86,5,326,0.421943
87,6,330,0.3945479
88,8,334,0.3866894
89,9,355,0.3913295
90,10,365,0.4123086
91,10,380,0.4125647
92,11,402,0.3942771
93,12,417,0.3802116
94,11,445,0.3672394
95,10,492,0.3775546
96,19,523,0.3848037
97,24,562,0.2913252
98,28,611,0.2482233
99,34,650,0.08038636
100,36,694,0.2418859
101,46,758,0.1445525
102,48,814,0.2846683
103,58,862,0.1639531
104,69,921,0.09671589
105,74,967,0.1480709
106,81,1021,0.104566
107,95,1084,0.1717334
108,102,1148,0.09901073
109,126,1216,0.07489622
110,138,1286,0.05519838
111,152,1352,0.04325068
112,166,1447,0.05688783
113,180,1515,0.004035961
114,183,1583,0.03671757
115,193,1653,0.05670304
116,212,1723,0.04689792
117,213,1756,0.02180658
118,217,1790,0.05566324
119,211,1803,0.0107838
120,210,1819,0.02885332
121,226,1828,0.03430279
122,219,1791,0.003706464
123,222,1762,0.05211056
124,223,1724,0.04977545
125,223,1719,0.023013
126,211,1684,0.07340734
127,209,1646,0.0330091
128,200,1604,0.07470263
129,180,1545,0.02979877
130,179,1495,0.04337807
131,172,1437,0.02579398
132,161,1365,0.0325681
133,157,1312,0.04708246
134,137,1261,0.04132026
135,124,1178,0.03657439
136,111,1090,0.01563024
137,102,1035,0.01416253
138,105,959,0.01767687
139,107,885,0.0721157
140,93,819,0.0771168
141,83,752,0.0699516
142,71,700,0.08523908
143,68,636,0.03890887
144,59,568,0.07272054
145,54,520,0.07903114
146,43,473,0.1090837
147,43,417,0.223791
148,38,386,0.1769949
149,30,348,0.1157
150,27,316,0.1827229
151,25,292,0.2210263
152,22,266,0.1849996
153,15,242,0.2675278
154,10,219,0.3173113
155,10,203,0.34338
156,6,187,0.4105733
157,9,169,0.412751
