Timestep,Collisions,Density,Minimum_Separation
0,0,100,1.246628
1,0,100,1.240347
2,0,100,1.230915
3,0,100,1.218355
4,0,100,1.205789
5,0,100,1.193231
6,0,100,1.180663
7,0,100,1.168101
8,0,100,1.155537
9,0,100,1.142969
10,0,100,1.13041
11,0,100,1.117838
12,0,100,1.10528
13,0,100,1.092722
14,0,100,1.080148
15,0,100,1.067591
16,0,100,1.055023
17,0,100,1.042463
18,0,100,1.029895
19,0,100,1.017334
20,0,100,1.004769
21,0,100,0.9922014
22,0,100,0.9796401
23,0,100,0.9670788
24,0,100,0.9545119
25,0,100,0.9419506
26,0,100,0.9293868
27,0,100,0.9168193
28,0,100,0.904258
29,0,100,0.8916922
30,0,100,0.8791301
31,0,100,0.8665677
32,0,100,0.854347
33,0,100,0.8425367
34,0,100,0.8305123
35,0,100,0.8143158
36,0,100,0.7983301
37,0,100,0.7828385
38,0,100,0.7668166
39,0,100,0.7505007
40,0,116,0.7347013
41,0,164,0.7194666
42,0,196,0.704709
43,0,200,0.6905764
44,0,200,0.6769943
45,0,200,0.6640196
46,0,200,0.6516992
47,0,200,0.6400718
48,0,200,0.6291518
49,0,200,0.618951
50,0,200,0.6094664
51,0,200,0.6006262
52,0,200,0.5923921
53,0,200,0.5847217
54,0,200,0.5768299
55,0,200,0.569351
56,0,200,0.5597377
57,0,200,0.5511096
58,0,200,0.5439867
59,0,200,0.5385506
60,0,212,0.5343668
61,0,236,0.5301859
62,0,276,0.5258582
63,0,284,0.5215913
64,0,284,0.5175848
65,0,292,0.5073189
66,8,292,0.4981104
67,8,300,0.4918234
68,8,300,0.489697
69,8,300,0.4898458
70,8,308,0.4908229
71,16,324,0.4918163
72,16,332,0.4925843
73,16,348,0.4912095
74,16,380,0.4911293
75,16,380,0.4914105
76,16,396,0.4916617
77,8,408,0.4917243
78,16,424,0.4914501
79,16,424,0.4866967
80,16,444,0.4870026
81,16,480,0.4894851
82,24,480,0.4908278
83,24,496,0.4805618
84,20,524,0.4749822
85,20,532,0.4711496
86,28,540,0.4705312
87,40,536,0.4709335
88,40,568,0.4691463
89,40,596,0.4639956
90,64,616,0.4635576
91,68,680,0.4596188
92,80,696,0.445612
93,88,732,0.4402265
94,92,820,0.4254096
95,108,876,0.4013009
96,112,964,0.3759494
97,112,1100,0.3496594
98,128,1196,0.3309539
99,150,1364,0.2584519
100,178,1506,0.09356852
101,202,1654,0.1410402
102,238,1800,0.1394053
103,252,1920,0.1657302
104,250,1980,0.1947905
105,258,2042,0.2170039
106,254,2046,0.2439611
107,244,2022,0.2447907
108,224,1946,0.2494258
109,206,1848,0.2722451
110,198,1752,0.302536
111,168,1632,0.3129688
112,172,1424,0.3286405
113,152,1312,0.3505139
114,124,1218,0.3776129
115,92,1114,0.4098193
116,56,990,0.4482619
117,28,906,0.4911907
118,0,846,0.5000002
119,0,798,0.5001528
120,0,762,0.5000768
121,0,738,0.5005448
122,0,706,0.5007484
123,0,698,0.5000853
124,0,702,0.5015398
125,0,694,0.5002195
126,0,686,0.5030233
127,0,672,0.5007536
128,8,652,0.4992855
129,8,656,0.4953871
130,4,656,0.4994714
131,4,646,0.4963762
132,6,662,0.4978936
133,10,640,0.4921117
134,16,632,0.4606218
135,17,619,0.4820171
136,10,627,0.4869304
137,6,643,0.496056
138,8,640,0.4840959
139,10,636,0.4634423
140,12,639,0.4579984
141,10,636,0.4855392
142,10,644,0.4868678
143,10,659,0.4726114
144,12,662,0.4710126
145,13,659,0.461392
146,15,657,0.4527629
147,19,669,0.4737332
148,17,676,0.4814719
149,27,671,0.4455069
150,29,643,0.4403962
151,36,652,0.4621812
152,20,649,0.4620315
153,24,637,0.4660969
154,30,631,0.448656
155,22,629,0.4662686
156,20,625,0.4790466
157,26,596,0.480858
158,24,590,0.4717672
159,24,585,0.4710404
160,26,575,0.4827267
161,18,569,0.4864385
162,18,561,0.4881812
163,16,545,0.4853972
164,12,536,0.4807683
165,10,518,0.4818892
166,8,508,0.4864387
167,14,505,0.4900433
168,14,479,0.4894409
169,8,467,0.4951651
170,2,445,0.4996531
171,4,441,0.4984068
172,4,421,0.4954995
173,4,415,0.4919914
174,4,411,0.4928604
175,4,398,0.4979863
176,0,387,0.5002163
177,6,379,0.4957227
178,0,375,0.5001107
179,0,354,0.5002587
180,0,334,0.5003583
181,2,328,0.4991558
182,0,321,0.5000051
183,0,304,0.5000054
184,0,300,0.5000027
185,0,302,0.5001577
186,0,290,0.5005286
187,2,285,0.4991888
188,0,271,0.500434
189,0,267,0.5010627
190,0,259,0.5023993
191,0,262,0.5085379
192,2,248,0.4869807
193,0,244,0.5004183
194,2,228,0.4957821
195,2,226,0.4998789
196,2,218,0.498644
197,2,216,0.4986381
198,4,202,0.4970176
199,2,194,0.4997736
200,0,188,0.5000494
201,0,176,0.5001166
202,0,170,0.5070496
203,0,168,0.5006193
204,0,152,0.501188
205,0,140,0.500931
206,0,122,0.5000329
207,0,122,0.5003557
208,0,114,0.5009018
209,0,102,0.5012402
210,0,92,0.5001981
211,0,86,0.5011858
212,0,86,0.5001884
213,0,78,0.5019798
214,0,66,0.5035174
215,0,66,0.5058091
216,0,62,0.5088422
217,0,56,0.5126029
218,0,54,0.512803
219,0,54,0.5075657
220,0,50,0.5001949
221,0,50,0.5011658
222,0,48,0.5000569
223,0,48,0.5003634
224,0,48,0.5000264
225,0,44,0.5005638
226,0,44,0.5006315
227,0,42,0.502323
228,0,42,0.5042026
229,0,40,0.5075433
230,0,40,0.5123063
231,0,36,0.5184692
232,0,36,0.5259724
233,0,36,0.5347627
234,0,32,0.5447664
235,0,28,0.539425
236,0,28,0.5120229
237,0,28,0.5003178
238,0,28,0.505589
239,0,30,0.5094894
240,0,34,0.5308456
241,0,34,0.5717494
242,0,30,0.6301114
243,0,30,0.6789159
244,0,28,0.5525457
245,0,28,0.5000506
246,0,28,0.554599
247,0,28,0.6705781
248,0,26,0.6401949
249,0,26,0.5741171
250,0,26,0.5263909
251,0,22,0.5022361
252,0,20,0.5049766
253,0,20,0.5185518
254,0,20,0.553027
255,0,20,0.6094252
