Timestep,Collisions,Density,Minimum_Separation
0,0,100,1.249765
1,0,100,1.194992
2,0,100,1.170212
3,0,100,1.132959
4,0,99,1.102944
5,0,94,1.075192
6,0,92,1.048175
7,0,91,1.023021
8,0,88,1.004938
9,0,85,1.03596
10,0,82,1.068329
11,0,81,1.071429
12,0,80,1.047148
13,0,75,1.025642
14,0,73,1.000763
15,0,69,0.9785137
16,0,70,0.9585758
17,0,69,0.9458274
18,0,68,0.9392909
19,0,68,0.9385674
20,0,66,0.9412244
21,0,65,0.9261992
22,0,63,0.9074636
23,0,62,0.8892378
24,0,61,0.8714471
25,0,60,0.833804
26,0,60,0.8424159
27,0,60,0.8625556
28,0,62,0.851751
29,0,60,0.844349
30,0,60,0.8364329
31,0,62,0.8285419
32,0,60,0.8272059
33,0,59,0.8484173
34,0,58,0.8661968
35,0,57,0.8658276
36,0,54,0.8762463
37,0,54,0.8875178
38,0,54,0.9002333
39,0,51,0.8452962
40,0,51,0.8613545
41,0,50,0.8755312
42,0,49,0.8768771
43,0,48,0.8708617
44,0,49,0.8578402
45,0,48,0.8024879
46,0,48,0.7683327
47,0,47,0.76217
48,0,47,0.7630848
49,0,47,0.7624779
50,0,46,0.7736639
51,0,46,0.8037472
52,0,48,0.8423926
53,0,47,0.8547062
54,0,47,0.8426681
55,0,45,0.8148031
56,0,45,0.8044294
57,0,46,0.8119507
58,0,45,0.817655
59,0,46,0.7972485
60,0,43,0.796657
61,0,42,0.8065534
62,0,42,0.8195859
63,0,41,0.8400741
64,0,40,0.8462352
65,0,40,0.8498865
66,0,40,0.8404056
67,0,39,0.8647277
68,0,38,0.8887981
69,0,40,0.8955638
70,0,40,0.8917204
71,0,41,0.8971302
72,0,40,0.8989074
73,0,39,0.8881027
74,0,38,0.8706953
75,0,38,0.8825238
76,0,36,0.8871474
77,0,37,0.8891014
78,0,39,0.8901724
79,0,43,0.8836576
80,0,43,0.8664697
81,0,42,0.8504078
82,0,39,0.8374133
83,0,40,0.8267519
84,0,40,0.8387821
85,0,39,0.8518896
86,0,40,0.8636612
87,0,40,0.8802849
88,0,40,0.88248
89,0,39,0.8967964
90,0,37,0.8892849
91,0,37,0.8845608
92,0,37,0.8855305
93,0,34,0.9074748
94,0,35,0.9115961
95,0,34,0.9007661
96,0,35,0.8876155
97,0,36,0.8742141
98,0,35,0.8614839
99,0,34,0.8512285
100,0,34,0.8410367
101,0,33,0.8444588
102,0,33,0.8468618
103,0,34,0.8503564
104,0,34,0.8360104
105,0,34,0.832979
106,0,34,0.8294168
107,0,34,0.8283731
108,0,33,0.8219877
109,0,32,0.8480008
110,0,30,0.853358
111,0,32,0.8600656
112,0,33,0.8294539
113,0,34,0.8013707
114,0,34,0.8000056
115,0,35,0.793297
116,0,35,0.7504371
117,0,35,0.784688
118,0,35,0.7971473
119,0,35,0.810562
120,0,36,0.8117046
121,0,35,0.8108332
122,0,37,0.8098814
123,0,38,0.8252537
124,0,39,0.8242571
125,0,37,0.8265901
126,0,38,0.8300361
127,0,36,0.7552719
128,0,37,0.7811534
129,0,36,0.8154498
130,0,36,0.8164449
131,0,35,0.8188876
132,0,34,0.7573026
133,0,36,0.5799872
134,1,37,0.4395093
135,1,37,0.4111442
136,0,37,0.5360152
137,0,36,0.7545597
138,0,36,0.8296036
139,0,36,0.8301926
140,0,34,0.8271989
141,0,34,0.7881193
142,0,33,0.7519568
143,0,36,0.7672327
144,0,34,0.8039731
145,0,34,0.7957966
146,0,34,0.7872091
147,0,34,0.7777779
