Timestep,Collisions,Density,Minimum_Separation
0,0,100,1.246628
1,0,100,1.240347
2,0,100,1.230915
3,0,100,1.218355
4,0,100,1.205789
5,0,100,1.193231
6,0,100,1.180663
7,0,100,1.168101
8,0,100,1.155537
9,0,100,1.142969
10,0,100,1.13041
11,0,100,1.117838
12,0,100,1.10528
13,0,100,1.092722
14,0,100,1.080148
15,0,100,1.067591
16,0,100,1.055023
17,0,100,1.042463
18,0,100,1.029895
19,0,100,1.017334
20,0,100,1.004769
21,0,100,0.9922014
22,0,100,0.9796401
23,0,100,0.9670788
24,0,100,0.9545119
25,0,100,0.9419506
26,0,100,0.9293868
27,0,100,0.9168193
28,0,100,0.904258
29,0,100,0.8916922
30,0,100,0.8791301
31,0,100,0.8665677
32,0,100,0.854347
33,0,100,0.8425367
34,0,100,0.8305123
35,0,100,0.8143158
36,0,100,0.7983301
37,0,100,0.7828385
38,0,100,0.7668166
39,0,100,0.7505007
40,0,116,0.7347013
41,0,164,0.7194666
42,0,196,0.704709
43,0,200,0.6905764
44,0,200,0.6769943
45,0,200,0.6640196
46,0,200,0.6516992
47,0,200,0.6400718
48,0,200,0.6291518
49,0,200,0.618951
50,0,200,0.6094664
51,0,200,0.6006262
52,0,200,0.5923921
53,0,200,0.5847217
54,0,200,0.5768299
55,0,200,0.569351
56,0,200,0.5597377
57,0,200,0.5511096
58,0,200,0.5439867
59,0,200,0.5385506
60,0,212,0.5343668
61,0,236,0.5301859
62,0,276,0.5258582
63,0,284,0.5215913
64,0,284,0.5175848
65,0,292,0.5073189
66,8,292,0.4981104
67,8,300,0.4918234
68,8,300,0.489697
69,8,300,0.4898458
70,8,308,0.4910927
71,16,324,0.4927016
72,16,332,0.493765
73,16,340,0.4937946
74,8,356,0.4953689
75,8,364,0.4966005
76,8,356,0.497627
77,0,348,0.5030967
78,0,324,0.5122664
79,0,316,0.529613
80,0,332,0.5208547
81,0,332,0.527492
82,0,308,0.5417771
83,0,300,0.550467
84,0,308,0.5487842
85,0,304,0.5341488
86,0,304,0.5189929
87,0,300,0.5164169
88,0,292,0.5244299
89,0,296,0.5353793
90,0,300,0.5347283
91,0,316,0.5332769
92,0,324,0.5304699
93,0,328,0.527739
94,0,336,0.5220718
95,4,356,0.4898081
96,4,372,0.4694842
97,6,378,0.4602909
98,8,412,0.401424
99,12,432,0.3689749
100,18,450,0.2519119
101,26,448,0.2905616
102,24,490,0.2590117
103,20,496,0.3300374
104,24,512,0.3696854
105,24,537,0.3740889
106,24,554,0.4271234
107,24,556,0.4479696
108,22,580,0.4617406
109,24,594,0.457621
110,26,614,0.4529384
111,38,644,0.4398836
112,36,678,0.4343422
113,40,709,0.436743
114,40,737,0.4493148
115,42,753,0.4648049
116,46,774,0.4620776
117,48,790,0.4542479
118,52,821,0.4324609
119,53,831,0.4232462
120,53,837,0.4309758
121,61,852,0.4364024
122,65,872,0.4465763
123,67,876,0.4520827
124,65,898,0.4535545
125,61,902,0.4624373
126,59,910,0.471885
127,57,922,0.4573898
128,57,916,0.4589355
129,63,916,0.4636033
130,68,904,0.4734867
131,68,905,0.4710516
132,57,909,0.4691931
133,55,903,0.4698754
134,61,901,0.4756914
135,63,893,0.4800015
136,63,899,0.4809249
137,59,911,0.4743773
138,43,905,0.4761869
139,45,898,0.4843837
140,47,890,0.4853604
141,38,882,0.48316
142,34,866,0.4792455
143,34,848,0.4816284
144,28,845,0.486525
145,32,841,0.4921317
146,34,834,0.4939777
147,26,826,0.4951628
148,24,822,0.4963827
149,28,810,0.4960079
150,26,814,0.4959443
151,30,804,0.4969016
152,22,796,0.4967875
153,18,798,0.4951831
154,16,788,0.4957213
155,18,788,0.4976511
156,16,784,0.499273
157,10,770,0.499491
158,8,762,0.4996212
159,6,758,0.4998088
160,8,756,0.4998852
161,10,762,0.4983864
162,8,758,0.4970082
163,12,762,0.4961327
164,14,753,0.496531
165,14,751,0.4972945
166,14,751,0.4980144
167,16,753,0.4985749
168,14,749,0.4986872
169,14,747,0.4985448
170,14,747,0.4986313
171,14,739,0.4990034
172,20,751,0.498362
173,20,743,0.4983153
174,16,755,0.499003
175,12,755,0.4992458
176,8,749,0.4995615
177,8,755,0.499609
178,2,755,0.4996568
179,4,749,0.4992006
180,4,741,0.4990381
181,8,735,0.4989434
182,10,729,0.4985027
183,12,721,0.4989097
184,12,729,0.4996056
185,10,729,0.4984519
186,8,747,0.4980606
187,8,747,0.4995809
188,4,743,0.4994761
189,6,741,0.4983953
190,6,743,0.4977782
191,12,741,0.4980973
192,12,744,0.4978846
193,12,748,0.4976437
194,12,754,0.4978143
195,14,746,0.4981648
196,14,744,0.4985564
197,16,740,0.4989859
198,16,748,0.4986966
199,18,750,0.4979626
200,20,748,0.4909463
201,22,744,0.4859442
202,28,740,0.4868731
203,26,726,0.4915592
204,20,724,0.4969719
205,10,708,0.497052
206,10,704,0.4969022
207,10,704,0.4983625
208,6,700,0.4990247
209,6,705,0.4978031
210,8,709,0.4971477
211,8,703,0.4970541
212,10,705,0.497346
213,10,695,0.4977283
214,10,693,0.4979892
215,14,691,0.4984273
216,16,693,0.498405
217,18,699,0.4985344
218,14,691,0.4987488
219,14,697,0.4989348
220,14,699,0.4990596
221,16,691,0.4991487
222,18,691,0.4992162
223,18,685,0.4992731
224,16,679,0.4991582
225,18,675,0.4987985
226,22,675,0.4982337
227,22,665,0.4982192
228,24,663,0.4989914
229,22,655,0.4990712
230,20,647,0.4991661
231,18,640,0.4993022
232,20,640,0.4994305
233,22,636,0.4991696
234,20,634,0.4990503
235,24,632,0.4990332
236,20,634,0.4990736
237,18,624,0.4991357
238,14,622,0.4991917
239,14,628,0.4991428
240,16,624,0.4990573
241,16,624,0.4989754
242,18,618,0.4988192
243,20,622,0.4987313
244,20,618,0.4988514
245,18,616,0.4988365
246,18,612,0.4988336
247,18,614,0.4988407
248,22,608,0.4988546
249,16,604,0.4988525
250,14,606,0.4989191
251,14,598,0.4990118
252,12,596,0.4990967
253,14,593,0.4991587
254,14,601,0.4992964
255,12,597,0.4994316
256,12,597,0.4995014
257,14,597,0.4995382
