Timestep,Collisions,Density,Minimum_Separation
0,0,100,1.247248
1,0,100,1.24273
2,0,100,1.236593
3,0,100,1.228843
4,0,100,1.21729
5,0,100,1.207582
6,0,100,1.191915
7,0,100,1.172453
8,0,100,1.128009
9,0,100,1.092962
10,0,100,1.063907
11,0,100,1.008569
12,0,100,1.007995
13,0,100,0.9778561
14,0,100,1.012373
15,0,100,1.026608
16,0,100,0.9987049
17,0,100,0.9833006
18,0,100,0.9542456
19,0,100,0.9803877
20,0,100,0.9877598
21,0,100,0.9914289
22,0,100,0.9447814
23,0,100,0.9843125
24,0,100,1.001601
25,0,100,0.9994117
26,0,100,0.9786247
27,0,100,0.9603884
28,0,100,0.9208757
29,0,100,0.9736316
30,0,100,0.9831041
31,0,100,0.9569382
32,0,92,0.9425368
33,0,92,0.9732789
34,0,92,0.8775001
35,0,92,0.8714471
36,0,100,0.8109058
37,0,100,0.8421009
38,0,100,0.8277235
39,0,108,0.8631188
40,0,116,0.9185153
41,0,108,0.9613585
42,0,100,0.948795
43,0,100,0.958481
44,0,92,0.9277878
45,0,84,0.9044174
46,0,84,0.8862246
47,0,84,0.8499393
48,0,84,0.913081
49,0,92,0.9266216
50,0,92,0.8922928
51,0,96,0.8942192
52,0,112,0.8727647
53,0,96,0.8969412
54,0,112,0.8832398
55,0,112,0.866958
56,0,112,0.8719004
57,0,104,0.8643775
58,0,104,0.8816333
59,0,96,0.8660935
60,0,96,0.8211735
61,0,104,0.8755563
62,0,112,0.8908756
63,0,112,0.848409
64,0,112,0.8616221
65,0,112,0.8969991
66,0,112,0.8610669
67,0,120,0.8952989
68,0,112,0.8830015
69,0,112,0.8410274
70,0,112,0.8269762
71,0,112,0.8330554
72,0,104,0.8190331
73,0,136,0.8270749
74,0,136,0.7827947
75,0,136,0.7418783
76,0,136,0.7223669
77,0,136,0.7426566
78,0,120,0.7608498
79,0,128,0.7196597
80,0,152,0.7776734
81,0,152,0.8167673
82,0,144,0.7648996
83,0,160,0.7655631
84,0,160,0.744873
85,0,176,0.7310057
86,0,176,0.7261488
87,0,184,0.7166507
88,0,188,0.6755315
89,0,188,0.6165373
90,0,200,0.657915
91,0,204,0.6746796
92,0,224,0.6705252
93,0,252,0.631478
94,0,268,0.6290275
95,0,312,0.5675615
96,0,292,0.6095465
97,0,300,0.5988593
98,0,328,0.5088708
99,0,320,0.520358
100,8,360,0.493353
101,0,384,0.5438768
102,0,396,0.5278019
103,8,396,0.4918632
104,0,424,0.5105311
105,0,440,0.516097
106,0,468,0.5254983
107,12,496,0.4584405
108,12,504,0.4718214
109,12,532,0.4210276
110,16,572,0.4385537
111,16,604,0.4272314
112,16,636,0.4241096
113,16,620,0.3814192
114,16,636,0.3836659
115,16,644,0.3743759
116,32,668,0.3047884
117,20,678,0.3278635
118,20,702,0.3122733
119,32,694,0.3048945
120,16,714,0.3055583
121,16,714,0.3466863
122,24,690,0.3539096
123,20,666,0.3683974
124,12,678,0.4052393
125,16,682,0.4160483
126,8,686,0.4248677
127,28,670,0.4550147
128,24,670,0.4655893
129,12,674,0.4294584
130,16,682,0.4208041
131,8,658,0.3922116
132,16,638,0.4343297
133,8,630,0.4057373
134,12,618,0.4478556
135,4,638,0.419263
136,12,626,0.4613813
137,8,618,0.4327888
138,16,642,0.4668615
139,8,626,0.4463145
140,16,630,0.4391568
141,16,654,0.4598401
142,16,650,0.4435367
143,16,686,0.452677
144,12,670,0.4727758
145,16,698,0.4208705
146,24,686,0.4682566
147,16,690,0.4229852
148,12,706,0.4226181
149,8,710,0.4602692
150,4,730,0.4775313
151,16,738,0.478696
152,20,734,0.4222503
153,12,730,0.4230351
154,32,726,0.4499959
155,44,762,0.4518275
156,28,746,0.4277669
157,28,710,0.4551603
158,24,718,0.454428
159,16,734,0.4677264
160,12,706,0.4249505
161,8,710,0.4666105
162,16,718,0.4568007
163,16,710,0.4756794
164,16,706,0.484372
165,4,678,0.4908766
166,8,702,0.4962982
167,0,666,0.5119796
168,4,686,0.4582514
169,8,678,0.47264
170,4,694,0.4338933
171,12,714,0.472336
172,12,722,0.4624639
173,16,730,0.4685324
174,16,742,0.4447789
175,32,740,0.4601252
176,20,732,0.3910239
177,16,736,0.4171486
178,24,740,0.3735804
179,16,732,0.4380303
180,20,728,0.4718653
181,8,732,0.4626282
182,8,740,0.4482479
183,8,732,0.4240818
184,16,744,0.419751
185,12,752,0.3601568
186,12,770,0.3910564
187,12,772,0.4062762
188,12,768,0.4158386
189,8,742,0.3580181
190,12,746,0.4004837
191,8,746,0.3860653
192,12,750,0.4284638
193,4,744,0.4010206
194,8,740,0.444719
195,16,742,0.4292535
196,12,718,0.466266
197,4,714,0.4212177
198,12,726,0.4763519
199,16,714,0.4460317
200,10,694,0.4145401
201,18,680,0.448607
202,10,704,0.3878287
203,22,698,0.4325304
204,16,706,0.3884874
205,26,722,0.3816103
206,24,724,0.3364912
207,20,726,0.3817977
208,12,712,0.4137208
209,14,710,0.4290675
210,12,708,0.3886441
211,20,708,0.4178048
212,22,698,0.4361181
213,14,690,0.401236
214,16,698,0.4411058
215,10,684,0.4524476
216,4,679,0.4036186
217,6,671,0.4529891
218,6,661,0.436873
219,2,653,0.4778621
220,4,649,0.4951957
221,2,635,0.4706616
222,2,632,0.4855649
223,4,624,0.4276386
224,6,636,0.4511028
225,4,641,0.4405192
226,6,641,0.3635444
227,4,650,0.3965319
228,4,642,0.3573261
229,4,642,0.4232555
230,4,636,0.4069138
231,6,644,0.4163749
232,16,654,0.4481696
233,10,664,0.4377742
234,12,664,0.3863311
235,14,680,0.4073822
236,14,675,0.4384205
237,10,678,0.4212012
238,14,682,0.4372956
239,8,686,0.4399354
240,10,682,0.4670461
241,4,676,0.49651
242,4,668,0.4844826
243,2,670,0.4628187
244,10,660,0.4276506
245,12,674,0.4070651
246,12,666,0.39046
247,16,666,0.425447
248,12,650,0.4319404
249,10,640,0.3987372
250,14,640,0.4264455
251,12,636,0.4389079
252,8,640,0.4090053
253,10,630,0.4727493
254,6,628,0.4591072
255,8,620,0.434563
256,8,602,0.4512358
257,10,592,0.3727087
258,12,590,0.3973525
259,12,593,0.3870724
260,12,569,0.4275264
261,2,563,0.4763131
262,6,547,0.4499424
263,2,539,0.4967783
264,2,531,0.4821911
265,0,520,0.5009881
266,0,514,0.5057723
267,0,504,0.5234079
268,2,500,0.49631
269,0,492,0.509225
270,2,480,0.4720198
271,2,463,0.4777133
272,2,457,0.466302
273,2,443,0.4622746
274,0,431,0.5059469
275,4,429,0.4326529
276,4,427,0.4576736
277,4,415,0.4020615
278,4,413,0.4501739
279,2,409,0.418953
280,2,415,0.464342
281,0,423,0.5008388
282,2,409,0.4874991
283,2,403,0.4702751
284,0,407,0.5036545
285,0,403,0.5620468
286,0,399,0.5577193
287,0,386,0.5245529
288,0,386,0.5411945
289,0,378,0.515703
290,0,370,0.5261601
291,2,368,0.4783282
292,0,360,0.5419338
293,0,338,0.5264565
294,0,326,0.5678431
295,0,320,0.5451793
296,0,308,0.5758743
297,0,314,0.5632517
298,0,296,0.5668498
299,2,276,0.4932877
300,2,270,0.4785256
301,2,270,0.4963683
302,0,262,0.5400177
303,0,262,0.5255783
304,2,260,0.4624836
305,0,258,0.5227429
306,0,248,0.574392
307,0,242,0.554096
308,0,230,0.5640142
309,0,228,0.5508245
310,0,216,0.5957591
311,0,216,0.542661
312,0,220,0.5377359
313,0,204,0.5506779
314,0,202,0.5173551
315,0,196,0.5273054
316,2,190,0.4812746
317,0,188,0.5357262
318,0,174,0.5633774
319,0,162,0.5257698
320,0,154,0.5644258
321,0,146,0.5795932
322,0,146,0.5788708
323,0,138,0.5858679
324,0,132,0.5908519
325,0,124,0.5579657
326,0,122,0.5940509
327,0,116,0.5613827
328,0,114,0.5892449
329,0,106,0.5935061
330,0,96,0.5632341
331,0,88,0.6090282
332,0,84,0.5981568
333,0,84,0.5931278
334,0,78,0.5942186
335,0,78,0.6015143
336,0,74,0.6148934
337,0,70,0.6223701
338,0,62,0.6044053
339,0,54,0.6827981
340,0,54,0.6518793
341,0,60,0.6000854
342,0,58,0.5686152
343,0,60,0.6051939
344,0,58,0.6498578
345,0,52,0.6227018
346,0,54,0.6182233
347,0,52,0.6111784
348,0,54,0.6330631
349,0,54,0.6202089
350,0,50,0.6108093
351,0,46,0.6061791
352,0,44,0.6051426
353,0,36,0.6078004
354,0,32,0.6141673
355,0,26,0.6241786
356,0,24,0.6376983
357,0,24,0.6209219
358,0,24,0.6157228
359,0,24,0.6241691
360,0,24,0.6468146
361,0,24,0.6830487
362,0,24,0.7314376
363,0,26,0.7901705
364,0,26,0.843312
365,0,26,0.8689967
366,0,30,0.80371
367,0,30,0.7468711
368,0,30,0.7007391
369,0,28,0.6676926
