Timestep,Collisions,Density,Minimum_Separation
0,0,76,0.75
1,0,76,0.75
2,0,76,0.75
3,0,76,0.7499999
4,0,76,0.7499999
5,0,76,0.7499998
6,0,76,0.7499998
7,0,76,0.7499997
8,0,76,0.7499996
9,0,76,0.7499996
10,0,76,0.7499995
11,0,76,0.7499995
12,0,76,0.7499994
13,0,76,0.7499993
14,0,76,0.7499993
15,0,76,0.7499992
16,0,76,0.7499992
17,0,76,0.7499991
18,0,76,0.749999
19,0,76,0.749999
20,0,76,0.7499989
21,0,76,0.7499989
22,0,76,0.7499988
23,0,76,0.7499987
24,0,76,0.7499987
25,0,76,0.7499986
26,0,76,0.7499986
27,0,77,0.7499985
28,0,77,0.7499985
29,0,77,0.7287967
30,0,79,0.5394801
31,1,79,0.350171
32,1,81,0.2608627
33,1,84,0.2715542
34,1,85,0.382245
35,0,87,0.5313179
36,0,91,0.4636719
37,1,91,0.2813736
38,3,100,0.1990753
39,2,100,0.2167772
40,2,110,0.2372362
41,2,108,0.2867136
42,2,111,0.312027
43,2,116,0.2979671
44,3,120,0.3084828
45,0,128,0.4147038
46,3,128,0.3366768
47,2,131,0.2472901
48,4,136,0.2579026
49,5,138,0.2437277
50,4,148,0.2730442
51,4,152,0.3892606
52,2,143,0.3761254
53,7,154,0.3701832
54,6,152,0.3339446
55,8,161,0.32383
56,5,159,0.3113697
57,6,160,0.3345645
58,8,162,0.2986156
59,7,170,0.2552955
60,6,179,0.3026181
61,5,177,0.3227305
62,8,186,0.2335121
63,8,194,0.2332237
64,9,198,0.2804417
65,4,209,0.3217627
66,6,209,0.2667228
67,8,209,0.1543676
68,8,214,0.1089777
69,9,218,0.1778689
70,10,227,0.2787414
71,13,232,0.3319075
72,10,238,0.3268373
73,11,235,0.2677917
74,12,233,0.2301921
75,12,246,0.2241871
76,14,242,0.2335254
77,15,244,0.1892682
78,14,248,0.2276809
79,12,252,0.1724729
80,12,250,0.134964
81,7,251,0.1573158
82,11,257,0.2574764
83,11,256,0.2414642
84,12,260,0.2608211
85,8,259,0.214126
86,10,263,0.269248
87,13,261,0.2718414
88,11,252,0.1909765
89,13,254,0.1243095
90,19,256,0.1512126
91,16,257,0.1564643
92,15,264,0.1864695
93,18,254,0.2350996
94,19,258,0.2017048
95,18,256,0.2204542
96,15,247,0.2312636
97,14,243,0.2215178
98,15,243,0.1997016
99,13,240,0.07234112
100,14,238,0.1712218
101,16,236,0.2396876
102,13,241,0.1351839
103,13,245,0.1383561
104,16,245,0.1551758
105,18,244,0.1213488
106,17,245,0.1830065
107,17,247,0.1168467
108,26,241,0.1039275
109,19,225,0.1513229
110,18,225,0.06464827
111,14,221,0.0571217
112,15,214,0.1232757
113,14,201,0.2083685
114,18,193,0.193223
115,15,187,0.2567954
116,12,182,0.1853422
117,11,175,0.2589918
118,10,171,0.270268
119,8,179,0.2169916
120,7,169,0.2265176
121,6,169,0.2204831
122,6,168,0.2737993
123,6,167,0.255738
124,9,164,0.1998345
125,6,162,0.1396078
126,5,164,0.159252
127,6,163,0.1514485
128,5,157,0.2079431
129,5,162,0.3171653
130,6,165,0.2910991
131,6,156,0.2384968
132,4,152,0.2524906
133,7,147,0.2191463
134,7,146,0.2727934
135,8,139,0.2282689
136,8,136,0.2848797
137,7,141,0.2951014
138,8,135,0.1664547
139,6,132,0.1902292
140,5,134,0.3217959
141,5,130,0.3017237
142,7,126,0.295832
143,6,123,0.2153648
144,4,117,0.2454988
145,7,111,0.3005425
146,8,114,0.2866841
147,8,120,0.2639844
148,7,119,0.2456117
149,5,123,0.3077548
150,4,124,0.1832074
151,6,120,0.07325605
152,4,116,0.06344762
153,8,114,0.06462598
154,8,112,0.0658091
155,8,108,0.05341344
156,8,108,0.05230179
157,8,107,0.0515272
158,8,106,0.05075441
159,10,106,0.04998299
160,8,105,0.04921259
161,8,104,0.0484433
162,5,107,0.0476746
163,5,110,0.04690669
164,6,107,0.0461393
165,5,109,0.04537231
166,6,108,0.0446056
167,7,110,0.04383931
168,11,113,0.0430731
169,9,110,0.0423072
170,8,112,0.0415414
171,11,115,0.04077579
172,10,122,0.04001021
173,10,117,0.03806531
174,10,115,0.03441226
175,13,121,0.03075361
176,12,122,0.01349741
177,11,120,0.01131886
178,12,119,0.009136915
179,10,112,0.00695163
180,12,113,0.004763424
181,19,113,0.002572358
182,17,109,0.0003792644
183,9,90,0.001318216
184,9,93,0.00163579
185,9,93,0.000136435
186,9,91,0.001364112
187,10,85,0.002865195
188,10,87,0.004367113
189,10,87,0.005869746
190,7,87,0.007372856
191,5,80,0.008876264
192,5,76,0.01038027
193,2,66,0.02394193
194,2,69,0.02317686
195,1,60,0.3842418
196,0,60,0.429072
197,0,61,0.4118814
198,1,59,0.3595504
199,1,62,0.3453041
200,1,57,0.342669
201,1,51,0.3493504
202,1,52,0.2776278
203,2,51,0.1505876
204,1,47,0.3936943
205,0,45,0.4003603
206,1,44,0.3670884
207,1,43,0.3992366
208,0,43,0.4057296
209,0,43,0.4436497
210,2,42,0.3603994
211,0,39,0.4216977
212,1,41,0.3482337
213,2,39,0.3670108
214,5,46,0.001203001
215,2,42,0.002640128
216,2,46,0.004517019
217,2,47,0.0140518
218,3,47,0.03017712
219,3,49,0.06139779
220,5,45,0.01151092
221,6,44,4.828721E-05
222,9,45,0.001634896
223,10,45,0.0244438
224,8,46,0.03883092
225,7,47,0.05444419
226,10,50,0.07115177
227,13,54,0.0236119
228,12,57,0.01839319
229,12,47,0.02397662
230,11,49,0.01337099
231,7,44,0.05625629
232,7,45,0.007475138
233,9,46,0.0206846
234,8,50,0.03038013
235,8,48,0.0154109
236,12,54,0.0117712
237,10,54,0.03023869
238,9,53,0.02869564
239,14,62,0.004135102
240,14,63,0.0442996
241,12,64,0.00451459
242,10,55,0.006971359
243,11,56,0.009687304
244,6,45,0.02458555
245,12,45,0.0500465
246,8,40,0.08134979
247,7,40,0.01248148
248,8,40,0.05420339
249,7,40,0.03608203
250,4,44,0.0822567
251,4,41,0.09585127
252,6,44,0.07950678
253,5,41,0.05954897
254,5,43,0.05144806
255,7,41,0.05078922
256,4,39,0.04154251
257,5,42,0.02047038
258,6,43,0.0104998
259,8,42,0.01375109
260,6,40,0.02839099
261,5,34,0.05292159
262,5,35,0.03775674
263,5,36,0.04824525
264,6,40,0.01988542
