Timestep,Collisions,Density,Minimum_Separation
0,0,76,0.7090852
1,0,88,0.630271
2,0,97,0.5171124
3,2,112,0.3696395
4,6,110,0.3192983
5,8,105,0.2759579
6,8,101,0.2800883
7,8,104,0.3353781
8,8,106,0.3150784
9,9,108,0.3243493
10,5,105,0.3257887
11,4,100,0.3555098
12,3,98,0.3633569
13,3,96,0.3695909
14,2,97,0.3688639
15,3,96,0.3601136
16,3,98,0.3676111
17,3,98,0.3678253
18,3,99,0.3604279
19,3,96,0.3872906
20,2,95,0.3628774
21,3,96,0.3508959
22,2,95,0.3700434
23,3,91,0.3341749
24,3,92,0.3492439
25,3,91,0.325452
26,3,92,0.319982
27,3,90,0.3406853
28,2,91,0.3713613
29,1,91,0.3757941
30,2,94,0.3622507
31,2,95,0.3366772
32,2,94,0.3536601
33,1,93,0.357763
34,2,92,0.3648517
35,2,94,0.3749839
36,2,94,0.3626408
37,1,93,0.3573104
38,1,93,0.3601507
39,1,94,0.3670874
40,1,95,0.3757416
41,1,98,0.3848325
42,1,99,0.3865528
43,2,101,0.39543
44,0,103,0.4066502
45,0,100,0.4180095
46,0,100,0.4243211
47,1,98,0.3844495
48,1,99,0.3521148
49,1,99,0.3316658
50,2,97,0.3732806
51,2,98,0.3319343
52,2,96,0.3305545
53,3,97,0.3690546
54,2,97,0.3751928
55,2,95,0.381184
56,1,93,0.379065
57,2,96,0.3656245
58,0,94,0.4243907
59,0,94,0.4012063
60,0,91,0.4095128
61,0,91,0.411201
62,0,93,0.4161649
63,1,96,0.3964605
64,0,94,0.425403
65,0,94,0.4409168
66,0,94,0.43674
67,0,95,0.4300113
68,1,95,0.3861457
69,1,96,0.3572771
70,1,96,0.3396949
71,1,96,0.3303828
72,2,96,0.3269923
73,1,95,0.3277925
74,1,95,0.3310497
75,2,94,0.3354747
76,2,95,0.3397617
77,2,94,0.3434668
78,3,93,0.346335
79,1,93,0.3482639
80,2,96,0.3492644
81,2,94,0.3494483
82,2,95,0.348946
83,2,92,0.3479322
84,2,91,0.3465541
85,2,92,0.3637413
86,1,90,0.3619389
87,1,90,0.3809976
88,1,89,0.3956082
89,1,93,0.3946732
90,1,93,0.3916661
91,1,89,0.3918291
92,1,91,0.3644928
93,1,89,0.3722946
94,1,87,0.3960411
95,1,87,0.3860531
96,1,89,0.3799564
97,1,85,0.3768985
98,2,87,0.3758642
99,2,87,0.3666295
100,2,89,0.3596361
101,2,85,0.3499929
102,1,83,0.3772769
103,1,81,0.3773183
104,2,79,0.3772706
105,2,80,0.3693091
106,3,81,0.3584669
107,3,80,0.3516359
108,2,83,0.333149
109,2,84,0.320552
110,2,84,0.3122403
111,2,85,0.2894534
112,2,85,0.3692718
113,2,86,0.3775091
114,2,82,0.3352484
115,2,85,0.2147596
116,1,84,0.37702
117,1,83,0.3768232
118,2,85,0.3766018
119,4,84,0.3289273
120,4,81,0.2154778
121,3,81,0.1425405
122,6,81,0.1352153
123,8,79,0.1367722
124,7,75,0.06645232
125,7,73,0.04416105
126,8,70,0.04220586
127,7,69,0.03647379
128,9,68,0.02812625
129,9,71,0.0182085
130,8,71,0.007746149
131,11,68,0.002471009
132,11,69,0.01190015
133,11,71,0.02023103
134,11,75,0.02729221
135,11,73,0.03302684
136,15,72,0.03747757
137,15,80,0.04074725
138,15,77,0.03079707
139,14,82,0.03522947
140,16,87,0.04042836
141,17,87,0.04568489
142,16,86,0.04623772
143,19,86,0.04616022
144,14,81,0.04589052
145,15,86,0.04546575
146,17,86,0.04491706
147,17,83,0.0442879
148,19,84,0.0435868
149,16,78,0.01965258
150,15,81,0.02398263
151,16,79,0.02872389
152,17,77,0.0336755
153,16,76,0.0385938
154,17,82,0.0385344
155,17,86,0.03763269
156,16,85,0.0367302
157,12,80,0.03582969
158,12,82,0.03492691
159,12,81,0.0340196
160,14,82,0.03311062
161,15,84,0.03219458
162,16,84,0.0312697
163,19,88,0.0303365
164,22,91,0.0294039
165,21,91,0.02848178
166,18,84,0.007008195
167,18,82,0.003787994
168,18,87,0.01724074
169,19,83,0.03220496
170,16,79,0.0476749
171,17,84,0.0600349
172,14,90,0.0591539
173,13,90,0.05824651
174,17,87,0.05732182
175,18,87,0.0563767
176,19,86,0.05542701
177,22,87,0.054472
178,25,92,0.02975928
179,22,79,0.02084146
180,22,83,0.005118219
181,22,86,0.005342618
182,20,82,0.006429411
183,21,84,0.007411461
184,21,77,0.00853429
185,19,76,0.009748001
186,24,79,0.004799068
187,23,80,0.00344925
188,19,68,0.001888491
189,20,72,0.0002021305
190,22,73,0.001506858
191,23,66,0.00314042
192,25,68,0.00465681
193,24,69,0.006030489
194,20,69,2.540648E-05
195,20,62,0.004314795
196,10,50,0.009675488
197,10,55,0.01578361
198,11,57,0.02219261
199,11,57,0.01636219
200,13,59,0.0077838
201,14,64,0.001467288
202,13,62,0.003651202
203,15,56,0.008277178
204,15,51,0.01285309
205,16,58,0.0176363
206,19,66,0.00262513
207,17,62,0.03542525
208,19,62,0.04179511
209,25,72,0.03367537
210,24,74,1.840293E-06
211,23,79,0.01025891
212,23,86,0.0060638
213,25,88,0.01614425
214,22,79,0.01286607
215,21,80,0.0226295
216,24,80,0.006441712
217,25,93,0.008987308
218,27,93,0.009766161
219,25,64,0.01063762
220,22,62,0.01708292
221,18,50,0.0001502037
222,16,55,0.01600975
223,15,59,0.01638341
224,14,61,0.0008767843
225,12,61,0.009399295
226,11,56,0.001177132
227,11,58,0.002224207
228,14,61,1.396984E-05
229,11,52,0.004977793
230,6,33,0.05782387
231,8,35,0.06258607
232,6,29,0.04973823
233,6,30,0.04328352
234,6,36,0.03714613
235,8,35,0.01660368
236,9,37,0.007497533
237,9,37,0.03435841
238,12,52,0.02226901
239,12,49,0.0007289648
240,5,35,0.01141035
241,9,34,0.003069997
242,8,28,0.008441895
243,8,29,0.01027191
244,8,30,0.01324211
245,6,19,0.01700899
246,10,25,0.00294349
247,11,20,0.009822696
248,11,18,0.004291594
249,11,20,0.001196295
250,13,26,0.006402001
251,7,21,0.02333429
252,7,21,0.02540368
253,7,21,0.00951362
254,10,25,0.0005022995
255,4,18,0.009997069
256,4,15,0.03857805
257,2,9,0.2769461
258,1,6,0.3451715
259,2,6,0.3367304
260,1,6,0.2799313
261,1,4,0.2487027
262,1,4,0.2521091
263,4,9,0.0056288
264,7,13,0.003039379
265,7,13,0.003384251
266,7,9,0.00434888
267,7,9,0.03703923
268,7,9,0.01654553
269,7,9,0.009384399
270,2,4,0.2164311
