Timestep,Collisions,Density,Minimum_Separation
0,0,76,0.75
1,0,76,0.75
2,0,76,0.75
3,0,76,0.75
4,0,76,0.75
5,0,76,0.75
6,0,76,0.75
7,0,76,0.75
8,0,76,0.75
9,0,76,0.75
10,0,76,0.75
11,0,76,0.75
12,0,76,0.75
13,0,76,0.7442455
14,0,76,0.7356704
15,0,76,0.7270381
16,0,76,0.7167487
17,0,76,0.7056876
18,0,76,0.6949067
19,0,75,0.6825152
20,0,75,0.6723534
21,0,74,0.6602206
22,0,74,0.6484751
23,0,74,0.6371385
24,0,75,0.6262334
25,0,75,0.6157829
26,0,75,0.6058115
27,0,75,0.6008713
28,0,76,0.55417
29,0,76,0.4624285
30,0,78,0.4247442
31,0,77,0.4432445
32,0,83,0.5046517
33,0,84,0.5854052
34,0,86,0.4739666
35,0,88,0.4053886
36,0,88,0.4183399
37,0,91,0.4306025
38,0,91,0.435112
39,0,94,0.401962
40,0,96,0.4154302
41,0,100,0.4007576
42,0,101,0.4234115
43,0,102,0.40259
44,0,102,0.4003895
45,0,108,0.4351353
46,0,105,0.4019811
47,0,108,0.4011748
48,0,106,0.4020101
49,0,107,0.4488631
50,0,104,0.4224848
51,0,101,0.4064886
52,0,103,0.4304288
53,0,104,0.4010128
54,0,106,0.4006837
55,0,104,0.4083357
56,0,106,0.4362907
57,0,106,0.4839624
58,0,104,0.4411239
59,0,104,0.413134
60,0,101,0.4228156
61,0,101,0.402933
62,0,100,0.4005714
63,0,99,0.400109
64,0,101,0.4031549
65,0,101,0.4007785
66,0,100,0.4532594
67,0,98,0.4322985
68,0,97,0.4004065
69,0,99,0.4002814
70,0,102,0.4132372
71,0,105,0.4005647
72,0,100,0.4005082
73,0,103,0.400584
74,0,102,0.4073973
75,0,99,0.4135045
76,0,101,0.4000867
77,0,105,0.4005999
78,0,101,0.4047545
79,0,105,0.4038362
80,0,106,0.4262771
81,0,104,0.4012141
82,0,105,0.4538946
83,0,105,0.4215752
84,0,102,0.4000011
85,0,102,0.4051567
86,0,96,0.4002918
87,0,96,0.4001766
88,0,92,0.4371052
89,0,92,0.4561341
90,0,91,0.4045287
91,0,88,0.4098332
92,0,87,0.4109067
93,0,82,0.4109893
94,0,80,0.4162388
95,0,76,0.4063785
96,0,72,0.4487603
97,0,70,0.5032068
98,0,66,0.4323935
99,0,66,0.4397382
100,0,64,0.4795007
101,0,62,0.4778779
102,0,61,0.4762643
103,0,61,0.4746552
104,0,61,0.4730543
105,0,60,0.4714595
106,0,60,0.4698727
107,0,60,0.4682925
108,0,61,0.4667197
109,0,61,0.4651536
110,0,57,0.4635954
111,0,57,0.4620436
112,0,55,0.4605001
113,0,55,0.4589633
114,0,55,0.4574341
115,0,55,0.4559152
116,0,53,0.4544019
117,0,53,0.4528964
118,0,53,0.451399
119,0,53,0.4499097
120,0,51,0.4484281
121,0,52,0.4469563
122,0,51,0.4454919
123,0,51,0.4440359
124,0,51,0.4425875
125,0,51,0.4337424
126,1,51,0.3096517
127,0,49,0.4382964
128,0,47,0.4368822
129,0,46,0.4355107
130,0,45,0.4341837
131,0,45,0.4328977
132,0,45,0.4316552
133,0,45,0.4304504
134,0,43,0.4292846
135,1,42,0.3707292
136,0,39,0.4270628
137,0,37,0.4260044
138,0,37,0.4249805
139,0,37,0.4239885
140,0,37,0.4230276
141,0,37,0.4220973
142,0,35,0.4211957
143,0,34,0.4203227
144,0,33,0.4194771
145,0,30,0.4186575
146,0,29,0.4178633
147,0,29,0.4170952
148,0,29,0.4163493
149,0,29,0.4156274
150,1,27,0.3960485
151,1,27,0.2813385
152,1,22,0.3890743
153,1,21,0.2877589
154,1,23,0.2238146
155,1,24,0.2158919
156,1,21,0.2142025
157,2,21,0.2125131
158,3,19,0.2108238
159,1,17,0.2091344
160,2,14,0.207445
161,1,14,0.2057557
162,1,12,0.2040663
163,1,11,0.2023769
164,1,10,0.2006875
165,1,10,0.1989981
166,1,10,0.1973088
167,1,4,0.1956194
168,2,4,0.19393
169,1,1,0.1922407
170,1,1,0.1905513
171,0,0,1.927417
172,0,0,1.883073
173,0,0,1.847412
174,0,0,1.820946
175,0,0,14.08271
176,0,0,14.16886
