Timestep,Collisions,Density,Minimum_Separation
0,0,134,0.75
1,0,134,0.7056376
2,0,130,0.7500001
3,0,128,0.7500001
4,0,128,0.75003
5,0,123,0.7500395
6,0,123,0.7507315
7,0,122,0.7506379
8,0,122,0.750021
9,0,118,0.7515727
10,0,119,0.7521806
11,0,117,0.7529341
12,0,115,0.7517946
13,0,113,0.7506046
14,0,110,0.7523877
15,0,108,0.7473412
16,0,105,0.7499988
17,0,105,0.7538867
18,0,102,0.7557779
19,0,100,0.7574202
20,0,97,0.7577586
21,0,98,0.7592202
22,0,99,0.75508
23,0,98,0.7523991
24,0,96,0.7514992
25,0,97,0.7521139
26,0,94,0.7527404
27,0,93,0.7513448
28,0,94,0.7500207
29,0,91,0.7500377
30,0,91,0.7506358
31,0,89,0.7507298
32,0,88,0.7505912
33,0,87,0.7504819
34,0,85,0.7517776
35,0,83,0.7505615
36,0,82,0.7501751
37,0,82,0.7500078
38,0,79,0.750012
39,0,80,0.7297277
40,0,81,0.7500058
41,0,82,0.750058
42,0,83,0.6599106
43,0,85,0.6982228
44,0,85,0.7251273
45,0,84,0.6860967
46,0,85,0.7177119
47,0,85,0.7500013
48,0,85,0.7437955
49,0,83,0.7500015
50,0,79,0.7556589
51,0,79,0.7397853
52,0,81,0.7500034
53,0,77,0.7540318
54,0,77,0.7109948
55,0,76,0.7500072
56,0,75,0.7559195
57,0,72,0.7263005
58,0,71,0.7499363
59,0,69,0.7270026
60,0,69,0.7500645
61,0,67,0.757404
62,0,67,0.7524834
63,0,67,0.7504908
64,0,68,0.7504541
65,0,67,0.7504233
66,0,65,0.7503958
67,0,62,0.7525995
68,0,64,0.7544726
69,0,63,0.7538907
70,0,63,0.7501332
71,0,64,0.7500011
72,0,60,0.7509896
73,0,62,0.7544335
74,0,59,0.75874
75,0,60,0.7587385
76,0,61,0.7587386
77,0,60,0.7587383
78,0,58,0.7587374
79,0,55,0.7587364
80,0,55,0.7587358
81,0,56,0.754323
82,0,54,0.7587342
83,0,51,0.7587336
84,0,49,0.7587332
85,0,48,0.7587328
86,0,48,0.7579861
87,0,50,0.7587329
88,0,47,0.7912366
89,0,45,0.7525695
90,0,47,0.7661868
91,0,45,0.7742118
92,0,46,0.773495
93,0,46,0.7729968
94,0,46,0.7726176
95,0,45,0.7723263
96,0,45,0.7715123
97,0,40,0.7673745
98,0,42,0.7642158
99,0,42,0.7618378
100,0,42,0.7600824
101,0,42,0.7588036
102,0,39,0.7579026
103,0,39,0.7573025
104,0,39,0.7569345
105,0,37,0.7567245
106,0,38,0.7566519
107,0,37,0.7566756
108,0,36,0.7567711
109,0,36,0.7569121
110,0,35,0.7570772
111,0,34,0.7567184
112,0,35,0.7574826
113,0,32,0.7576883
114,0,31,0.7563699
115,0,33,0.7581112
116,0,33,0.7502202
117,0,33,0.7584934
118,0,33,0.7586639
119,0,31,0.7588338
120,0,33,0.7583386
121,0,33,0.7797729
122,0,31,0.7807634
123,0,32,0.7816885
124,0,32,0.7825526
125,0,29,0.750425
126,0,28,0.784095
127,0,30,0.7887052
128,0,31,0.7834479
129,0,32,0.7789289
130,0,31,0.7751282
131,0,30,0.7719254
132,0,29,0.7641739
133,0,29,0.7658339
134,0,28,0.7638769
135,0,28,0.7622077
136,0,27,0.7608523
137,0,27,0.7597021
138,0,25,0.7535331
139,0,24,0.7578791
140,0,24,0.7571588
141,0,24,0.7565407
142,0,24,0.7366799
143,0,23,0.7499985
144,0,22,0.7535896
145,0,22,0.7755691
146,0,23,0.7943505
147,0,22,0.7944645
148,0,22,0.7897407
149,0,22,0.7836451
150,0,19,0.7787223
151,0,17,0.7747637
152,0,18,0.7715797
153,0,18,0.7690328
154,0,18,0.7606385
155,0,17,0.7604408
156,0,17,0.7662358
157,0,17,0.7711907
158,0,16,0.7768
159,0,16,0.7827603
160,0,16,0.7888458
161,0,18,0.7948949
162,0,17,0.7953058
163,0,15,0.795328
164,0,14,0.7953494
165,0,13,0.7953654
166,0,14,0.7953823
167,0,14,0.7953966
168,0,14,0.795411
169,0,14,0.7954225
170,0,13,0.7730262
171,0,12,0.7747574
172,0,13,0.7954512
173,0,12,0.7954602
174,0,10,0.7954653
175,0,11,0.7937816
176,0,10,0.7500624
177,0,10,0.7954844
178,0,10,0.7954888
179,0,10,0.7737477
180,0,8,0.7537096
181,0,7,0.8225936
182,0,7,0.962949
183,0,6,0.9766576
184,0,6,0.9766123
185,0,5,0.9765868
186,0,4,0.9765511
187,0,4,0.9765242
188,0,4,0.9764978
189,0,4,0.9764808
190,0,3,0.9764538
191,0,3,0.976445
192,0,3,0.9764271
193,0,3,0.9764094
194,0,3,0.9763919
195,0,3,0.976383
196,0,3,0.9763843
197,0,2,1.11641
198,0,2,1.11789
199,0,2,1.119226
200,0,2,1.120425
201,0,2,1.121507
202,0,2,1.122488
203,0,2,1.123367
204,0,2,1.124159
205,0,2,1.124863
206,0,2,1.125509
207,0,2,1.126088
208,0,2,1.12661
209,0,2,1.12708
210,0,2,1.127506
211,0,1,1.127874
212,0,1,1.128219
213,0,1,1.128528
214,0,1,1.128808
215,0,1,1.129058
216,0,1,1.129279
217,0,1,1.129478
218,0,1,1.129662
219,0,1,1.129824
220,0,1,1.129978
221,0,1,1.130103
222,0,1,1.130229
223,0,1,1.130332
224,0,1,1.130427
225,0,1,1.130516
226,0,1,1.130597
227,0,1,1.130664
228,0,1,1.13073
229,0,1,1.130782
230,0,1,1.130833
231,0,1,1.130884
232,0,1,1.130929
233,0,1,1.130966
