Timestep,Collisions,Density,Minimum_Separation
0,0,76,0.75
1,0,76,0.75
2,0,76,0.75
3,0,72,0.75
4,0,70,0.75
5,0,70,0.75
6,0,74,0.75
7,0,78,0.75
8,0,80,0.75
9,0,84,0.75
10,0,84,0.75
11,0,84,0.7442201
12,0,82,0.7364433
13,0,82,0.7266517
14,0,82,0.7158933
15,0,83,0.7050509
16,0,80,0.6937017
17,0,83,0.685268
18,0,82,0.6740631
19,0,82,0.663148
20,0,81,0.6525379
21,0,81,0.6422479
22,0,79,0.6322553
23,0,77,0.6226075
24,0,78,0.6133308
25,0,78,0.6033487
26,0,78,0.5938979
27,0,77,0.5850041
28,0,78,0.5614511
29,0,78,0.4964572
30,0,79,0.4821899
31,0,79,0.5107356
32,0,78,0.5506875
33,0,78,0.5130917
34,0,79,0.52573
35,0,78,0.4632726
36,0,73,0.4129603
37,0,70,0.4154319
38,0,69,0.4587524
39,0,67,0.5440899
40,0,63,0.4480349
41,0,60,0.40395
42,0,60,0.42639
43,0,60,0.4315388
44,0,60,0.4012205
45,0,61,0.4125901
46,0,58,0.4340915
47,0,58,0.468446
48,0,57,0.4445768
49,0,58,0.4840698
50,0,57,0.5695661
51,0,57,0.5104245
52,0,55,0.4316629
53,0,55,0.4007455
54,0,56,0.4244611
55,0,57,0.4644997
56,0,59,0.5404077
57,0,59,0.5267607
58,0,57,0.4958518
59,0,60,0.520492
60,0,63,0.5664091
61,0,62,0.5633354
62,0,62,0.5223908
63,0,63,0.467933
64,0,61,0.4278769
65,0,59,0.404877
66,0,56,0.4012338
67,0,57,0.4085337
68,0,54,0.4055249
69,0,55,0.4042278
70,0,57,0.4250652
71,0,56,0.4636079
72,0,54,0.5335779
73,0,53,0.5310574
74,0,52,0.5287647
75,0,49,0.464691
76,0,50,0.4039915
77,0,49,0.4125476
78,0,50,0.4174239
79,0,52,0.4178159
80,0,51,0.4065831
81,0,49,0.4042304
82,0,52,0.4155517
83,0,52,0.4484281
84,0,52,0.5148969
85,0,53,0.457009
86,0,48,0.4192914
87,0,48,0.4026033
88,0,48,0.4117954
89,0,48,0.454883
90,0,48,0.5097917
91,0,48,0.5123138
92,0,46,0.5122967
93,0,46,0.5123382
94,0,45,0.5067335
95,0,46,0.4184114
96,0,46,0.4055882
97,0,45,0.4520918
98,0,44,0.51299
99,0,44,0.5132389
100,0,43,0.5135169
101,0,45,0.5059491
102,0,43,0.4456109
103,0,43,0.4562118
104,0,43,0.5150542
105,0,43,0.5155206
106,0,41,0.5159822
107,0,41,0.5164137
108,0,42,0.5168071
109,0,44,0.4385408
110,0,40,0.4001937
111,0,38,0.4422585
112,0,37,0.4161055
113,0,36,0.4017558
114,0,38,0.4321682
115,0,36,0.4904668
116,0,37,0.5079241
117,0,38,0.5064974
118,0,39,0.4718075
119,0,39,0.4254332
120,0,38,0.4029581
121,0,40,0.4101751
122,0,41,0.4389667
123,0,41,0.4901119
124,0,42,0.4870294
125,0,44,0.4769456
126,0,41,0.48701
127,0,41,0.4851599
128,0,39,0.482604
129,0,38,0.4670539
130,0,38,0.4544503
131,0,39,0.4448931
132,0,38,0.4381288
133,0,38,0.4366968
134,0,38,0.4330843
135,0,39,0.4267963
136,0,39,0.4156275
137,0,39,0.4014191
138,0,37,0.4026746
139,0,39,0.4027727
140,0,37,0.4043852
141,0,37,0.413664
142,0,35,0.402497
143,0,34,0.4153176
144,0,32,0.4312711
145,0,29,0.4336545
146,0,30,0.4360405
147,0,30,0.4384293
148,0,29,0.4160628
149,0,30,0.4017161
150,0,28,0.4265827
151,0,29,0.4480102
152,0,29,0.4504114
153,0,28,0.4528151
154,0,30,0.4165015
155,0,30,0.4089716
156,0,30,0.4152806
157,0,31,0.462454
158,0,32,0.45005
159,0,31,0.4465863
160,0,32,0.4683824
161,0,32,0.471227
162,0,29,0.4701722
163,0,29,0.4392108
164,1,24,0.3086023
165,1,24,0.1829011
166,1,24,0.08693435
167,1,24,0.08102709
168,1,23,0.08015025
169,1,23,0.07927316
170,1,23,0.07839632
171,0,23,0.4964567
172,0,26,0.4989004
173,0,26,0.5013455
174,0,26,0.4901614
175,0,28,0.483763
176,0,29,0.4851886
177,1,28,0.3861542
178,0,28,0.4927442
179,0,28,0.4957062
180,0,28,0.4410444
181,0,26,0.4043303
182,0,25,0.4083481
183,0,24,0.4323462
184,0,21,0.5016855
185,0,21,0.4752973
186,0,19,0.4171456
187,0,20,0.4066763
188,0,20,0.4333512
189,0,18,0.5070872
190,0,17,0.5360098
191,0,18,0.5346232
192,0,17,0.5332432
193,0,16,0.5318704
194,0,16,0.5305037
195,0,15,0.5291447
196,0,16,0.5277925
197,0,16,0.5264477
198,0,15,0.5251104
199,0,15,0.5237808
200,0,15,0.5224576
201,0,15,0.5211414
202,0,14,0.5198329
203,0,14,0.5185319
204,0,14,0.5153294
205,0,13,0.5112081
206,0,13,0.5072083
207,0,13,0.5033249
208,0,13,0.4995523
209,0,12,0.495886
210,0,12,0.4923208
211,0,12,0.4888522
212,0,12,0.4854753
213,0,12,0.4821855
214,0,9,0.4789782
215,0,9,0.4710907
216,0,9,0.4284678
217,0,9,0.4193056
218,0,9,0.4148762
219,0,8,0.4987729
220,0,8,0.4976061
221,0,9,0.4964485
222,0,9,0.4952992
223,0,9,0.4941583
224,0,9,0.4930262
225,0,9,0.4919027
226,0,10,0.490788
227,0,8,0.4896821
228,0,8,0.4885852
229,0,11,0.4874963
230,0,11,0.4864181
231,0,11,0.4695826
232,1,12,0.3354499
233,1,12,0.2016822
234,1,11,0.07039268
235,2,12,0.0309844
236,3,11,0.04222429
237,1,8,0.05346423
238,1,8,0.064704
239,2,9,0.05656445
240,2,10,0.06225652
241,2,10,0.06139362
242,2,10,0.05898011
243,2,10,0.05575192
244,2,11,0.05196959
245,4,14,0.04792744
246,4,14,0.04334339
247,4,14,0.01759398
248,4,15,0.003447592
249,4,21,0.02153641
250,8,26,0.02040929
251,7,25,0.004422545
252,11,33,0.0176093
253,12,36,0.0154106
254,12,37,0.01275593
255,11,36,0.0426898
256,11,41,0.01055664
257,11,42,0.0213688
258,13,33,0.0357632
259,11,26,0.02237684
260,10,28,0.01396579
261,7,24,0.006446838
262,9,24,0.000118196
263,7,19,0.004430234
264,9,24,0.001161993
265,10,27,0.005563498
266,9,28,0.01077271
