Timestep,Collisions,Density,Minimum_Separation
0,0,76,0.75
1,0,76,0.75
2,0,76,0.75
3,0,76,0.75
4,0,76,0.75
5,0,76,0.75
6,0,76,0.75
7,0,76,0.75
8,0,76,0.75
9,0,76,0.75
10,0,76,0.75
11,0,76,0.75
12,0,76,0.75
13,0,76,0.75
14,0,76,0.75
15,0,76,0.75
16,0,76,0.75
17,0,76,0.75
18,0,76,0.75
19,0,76,0.75
20,0,76,0.75
21,0,76,0.75
22,0,76,0.75
23,0,76,0.75
24,0,76,0.75
25,0,76,0.75
26,0,76,0.75
27,0,76,0.75
28,0,76,0.75
29,0,76,0.75
30,0,76,0.75
31,0,76,0.75
32,0,77,0.75
33,0,77,0.75
34,0,77,0.6870434
35,0,79,0.5018085
36,1,79,0.3161578
37,1,82,0.2305078
38,1,84,0.2448576
39,1,85,0.2387269
40,1,87,0.2142138
41,1,89,0.1805157
42,2,93,0.2468174
43,2,100,0.1698826
44,3,102,0.1831015
45,3,109,0.1520921
46,5,111,0.1592416
47,6,114,0.161752
48,6,118,0.1532325
49,9,120,0.1788325
50,9,128,0.1778321
51,12,133,0.1667274
52,12,139,0.184597
53,12,148,0.1862314
54,18,149,0.1829293
55,19,153,0.1706196
56,21,159,0.1812763
57,22,165,0.1710553
58,22,176,0.1727303
59,25,182,0.1812559
60,27,191,0.1495717
61,31,195,0.1612389
62,33,196,0.1577811
63,40,200,0.1569614
64,39,206,0.1393748
65,39,218,0.1716394
66,40,225,0.156762
67,42,232,0.1765292
68,44,240,0.192517
69,48,243,0.164597
70,51,253,0.1359593
71,53,259,0.1787625
72,54,267,0.1863113
73,56,278,0.180759
74,63,286,0.1675475
75,63,297,0.1459732
76,69,303,0.1600963
77,69,310,0.1527645
78,79,322,0.1463463
79,76,330,0.119857
80,75,336,0.103089
81,88,339,0.1214357
82,89,354,0.07774778
83,97,372,0.02537446
84,102,381,0.07202907
85,102,393,0.08667209
86,98,413,0.06758492
87,106,420,0.03707914
88,111,435,0.1163309
89,113,445,0.09155383
90,118,468,0.09087355
91,125,482,0.09114065
92,133,495,0.06523994
93,131,503,0.1144272
94,136,515,0.1138432
95,129,535,0.09418664
96,130,546,0.1200005
97,130,568,0.07658898
98,141,582,0.05710442
99,154,602,0.03162303
100,159,622,0.05534849
101,162,636,0.063747
102,164,650,0.09531597
103,171,665,0.1046687
104,173,686,0.104786
105,173,711,0.07749934
106,175,729,0.05220506
107,179,751,0.04146527
108,194,769,0.06590778
109,194,785,0.04728664
110,202,801,0.04469215
111,202,814,0.0337942
112,207,823,0.03559441
113,207,835,0.02877695
114,212,843,0.02616987
115,210,851,0.02800584
116,208,866,0.01391703
117,204,888,0.02458453
118,203,894,0.04226938
119,196,907,0.06069074
120,190,921,0.03446892
121,196,927,0.01995509
122,193,932,0.02723267
123,196,938,0.01970083
124,190,936,0.01137892
125,184,946,0.007279343
126,191,936,0.05101248
127,190,936,0.06890653
128,183,926,0.08536961
129,173,922,0.06650455
130,175,914,0.05018879
131,177,903,0.02722389
132,178,904,0.04828928
133,188,896,0.02200703
134,185,885,0.0511037
135,182,871,0.08670443
136,174,858,0.07214738
137,184,842,0.08537692
138,179,833,0.07422058
139,175,812,0.07185297
140,172,796,0.05295723
141,169,786,0.05816713
142,167,764,0.01649614
143,166,750,0.01977079
144,163,737,0.05338472
145,156,717,0.0737047
146,151,703,0.06959024
147,145,689,0.05055664
148,140,672,0.05687417
149,140,664,0.09766625
150,139,643,0.09729343
151,135,628,0.140201
152,131,622,0.1289729
153,124,613,0.1292049
154,115,600,0.1208523
155,120,589,0.1053944
156,113,576,0.0563612
157,118,566,0.07168442
158,115,560,0.06853404
159,110,553,0.08875141
160,112,535,0.02109606
161,110,524,0.01888957
162,103,513,0.03085185
163,108,497,0.02233727
164,105,491,0.03561167
165,100,485,0.03445636
166,96,473,0.05494864
167,95,464,0.06649287
168,89,458,0.05331705
169,92,447,0.1265408
170,88,441,0.1240494
171,88,431,0.1163977
172,89,420,0.1259246
173,86,412,0.1195394
174,89,403,0.1132486
175,85,396,0.09741767
176,81,394,0.1013341
177,87,388,0.1077783
178,85,386,0.1175748
179,81,376,0.1000104
180,77,369,0.1020885
181,73,363,0.07206397
182,78,358,0.1055449
183,79,353,0.1183904
184,75,350,0.05941222
185,75,341,0.05769377
186,72,336,0.0592742
187,74,332,0.06424984
188,72,329,0.07704054
189,74,323,0.04756868
190,71,322,0.00684267
191,66,317,0.03096973
192,69,308,0.04452669
193,65,305,0.0650247
194,68,296,0.09461441
195,71,292,0.07785737
196,74,290,0.1228375
197,73,282,0.07078009
198,75,277,0.03799711
199,73,266,0.05471532
200,72,263,0.01067591
201,68,258,0.07231372
202,66,252,0.04122565
203,62,247,0.01135172
204,64,242,0.02473345
205,67,240,0.02050806
206,64,242,0.03502027
207,66,238,0.05093526
208,65,232,0.06450641
209,62,230,0.071073
210,61,227,0.04545426
211,63,225,0.08422402
212,59,215,0.09080744
213,59,212,0.06877988
214,54,198,0.03526826
215,55,198,0.02720143
216,51,191,0.0208718
217,49,190,0.01347413
218,50,183,0.00509142
219,46,182,0.001962161
220,42,178,0.01008523
221,48,174,0.01919692
222,49,172,0.02922309
223,46,163,0.1307623
224,39,160,0.05472231
225,41,157,0.05652893
226,42,149,0.05834275
227,39,142,0.1290519
228,37,138,0.1345665
229,42,137,0.04631152
230,39,132,0.03865975
231,36,128,0.1151082
232,33,127,0.1204197
233,31,125,0.1373718
234,29,120,0.1311703
235,29,119,0.1249716
236,29,123,0.1187754
237,30,120,0.1125815
238,27,120,0.1063899
239,25,119,0.03275348
240,24,118,0.03001125
241,25,116,0.02727538
242,25,113,0.02454544
243,24,111,0.02182107
244,23,109,0.01910194
245,22,106,0.01638771
246,19,100,0.001243055
247,20,103,0.01987106
248,20,92,0.03876704
249,19,88,0.05792713
250,18,83,0.07735062
251,18,77,0.09703922
252,17,75,0.1158057
253,16,71,0.2009735
254,14,67,0.2017674
255,15,66,0.1773956
256,14,63,0.169479
257,14,64,0.1630593
258,12,60,0.1566419
259,12,57,0.1502268
260,11,55,0.1438139
261,11,52,0.1374031
262,11,48,0.1309896
263,11,46,0.1242111
264,11,43,0.114384
265,12,44,0.1049169
266,12,44,0.0957883
267,12,41,0.1795254
268,12,41,0.1786515
269,12,39,0.1778095
