Timestep,Collisions,Density,Minimum_Separation
0,12,322,0.2768002
1,12,322,0.3250399
2,12,322,0.3904314
3,0,310,0.4695454
4,0,310,0.5596361
5,0,310,0.6585093
6,0,310,0.75
7,0,310,0.75
8,0,310,0.75
9,0,310,0.7499995
10,0,310,0.75
11,0,310,0.749999
12,0,310,0.749999
13,0,310,0.749999
14,0,310,0.749999
15,0,310,0.749999
16,0,310,0.7499995
17,0,310,0.7499995
18,0,310,0.75
19,0,310,0.75
20,0,310,0.75
21,0,310,0.75
22,0,310,0.75
23,0,310,0.75
24,0,310,0.75
25,0,310,0.75
26,0,310,0.75
27,0,310,0.75
28,0,310,0.75
29,0,310,0.75
30,0,310,0.75
31,0,310,0.75
32,0,310,0.7499998
33,0,310,0.75
34,0,310,0.75
35,0,310,0.7499998
36,0,310,0.7499998
37,0,310,0.75
38,0,310,0.75
39,0,310,0.75
40,0,310,0.75
41,0,310,0.75
42,0,310,0.75
43,0,310,0.749999
44,0,310,0.7499988
45,0,310,0.75
46,0,310,0.75
47,0,310,0.7499999
48,0,310,0.75
49,0,310,0.7499998
50,0,310,0.7499989
51,0,310,0.75
52,0,310,0.7499989
53,0,310,0.749999
54,0,310,0.7499999
55,0,321,0.7499989
56,0,341,0.75
57,0,341,0.5279986
58,11,363,0.2600974
59,11,403,0.0921964
60,11,403,0.0242953
61,11,436,0.05639422
62,33,478,0.1884931
63,22,518,0.06819868
64,22,540,0.0226039
65,55,602,0.2134066
66,33,622,0.04958421
67,33,644,0.04103566
68,77,656,0.1997867
69,44,666,6.598234E-05
70,44,658,0.02730829
71,100,642,0.01856941
72,90,631,0.09992504
73,90,609,0.001847506
74,82,611,0.04783762
75,70,589,0.0007330179
76,58,579,0.149232
77,58,539,0.1976959
78,46,495,0.2828966
79,24,449,0.2819579
80,18,449,0.3105224
81,6,431,0.1450583
82,16,407,0.07959416
83,6,391,0.1141301
84,18,409,0.248666
85,12,439,0.2221124
86,24,441,0.2101617
87,36,439,0.198036
88,46,453,0.180119
89,44,455,0.2490587
90,40,467,0.2856924
91,28,495,0.3320372
92,23,477,0.3249534
93,28,506,0.3265068
94,23,506,0.2940252
95,33,509,0.272941
96,34,559,0.330623
97,34,545,0.2286024
98,34,563,0.1149563
99,32,553,0.1013104
100,60,573,0.1876643
101,70,602,0.2609271
102,45,589,0.2540723
103,49,586,0.248807
104,42,578,0.09812796
105,42,570,0.04233352
106,32,576,0.08653908
107,33,567,0.2307446
108,38,549,0.0875912
109,19,569,0.005686074
110,33,575,0.02378091
111,40,601,0.1406728
112,47,607,0.1025884
113,33,616,0.08571532
114,57,639,0.04018352
115,52,642,0.01561089
116,55,649,0.1714053
117,55,638,0.1930936
118,48,630,0.1855458
119,46,628,0.1123884
120,48,613,0.1979136
121,49,623,0.2502866
122,49,607,0.1799944
123,38,601,0.06196604
124,34,591,0.01776042
125,34,597,0.07145554
126,41,576,0.1814499
127,38,583,0.1361823
128,39,577,0.07676661
129,33,572,0.1173509
130,30,563,0.05413806
131,26,557,0.04135394
132,28,541,0.07015836
133,30,532,0.0796181
134,36,514,0.05960095
135,32,497,0.03195906
136,26,480,0.104316
137,17,467,0.276674
138,18,463,0.2347888
139,18,450,0.1725195
140,14,444,0.1924093
141,21,452,0.2120651
142,21,450,0.2485589
143,22,446,0.2145606
144,22,431,0.164865
145,18,435,0.2151782
146,19,434,0.2386312
147,20,432,0.2434678
148,23,442,0.2021643
149,18,443,0.2217876
150,19,437,0.2048012
151,20,434,0.2592372
152,22,433,0.2706901
153,19,424,0.2645077
154,21,426,0.1813073
155,13,418,0.1900367
156,17,401,0.1791701
157,15,391,0.1839192
158,12,396,0.2563159
159,15,382,0.2419911
160,16,371,0.2314153
161,11,362,0.2775615
162,12,349,0.3465869
163,10,345,0.2812753
164,9,337,0.2929223
165,7,318,0.2757744
166,8,313,0.2081915
167,7,312,0.2133638
