Timestep,Collisions,Density,Minimum_Separation
0,12,322,0.2334995
1,12,322,0.2046242
2,12,322,0.1664677
3,12,322,0.1713448
4,12,322,0.208497
5,12,322,0.2698661
6,12,310,0.34939
7,0,310,0.4425287
8,0,310,0.5458784
9,0,270,0.6568861
10,0,230,0.7493915
11,0,190,0.749374
12,0,190,0.7493662
13,0,168,0.7493634
14,0,168,0.7493641
15,0,168,0.749366
16,0,168,0.7493747
17,0,168,0.7493896
18,0,168,0.7493962
19,0,168,0.7494071
20,0,168,0.7494146
21,0,168,0.7494208
22,0,168,0.7494376
23,0,168,0.7494512
24,0,168,0.7494659
25,0,168,0.7494743
26,0,168,0.7494753
27,0,168,0.749473
28,0,168,0.7494739
29,0,168,0.7494794
30,0,168,0.7494805
31,0,168,0.7494803
32,0,168,0.7494867
33,0,168,0.7494875
34,0,168,0.7494887
35,0,168,0.7494921
36,0,168,0.7494971
37,0,168,0.7495018
38,0,168,0.7495121
39,0,168,0.7495214
40,0,168,0.7495286
41,0,168,0.7495326
42,0,168,0.7495329
43,0,168,0.7495385
44,0,168,0.7495369
45,0,168,0.7495316
46,0,168,0.7495314
47,0,168,0.7495291
48,0,168,0.7495309
49,0,168,0.7495297
50,0,172,0.7495316
51,0,180,0.749535
52,0,214,0.7491255
53,0,246,0.7451611
54,0,272,0.738162
55,0,272,0.7243214
56,0,276,0.7044836
57,0,280,0.6753196
58,0,278,0.6338971
59,0,273,0.6136099
60,0,260,0.5642479
61,0,265,0.5528742
62,0,268,0.5182226
63,0,271,0.5166929
64,0,280,0.5027681
65,0,283,0.480531
66,0,294,0.4683177
67,0,297,0.4250168
68,1,303,0.3858013
69,0,314,0.4108668
70,2,325,0.3672448
71,4,332,0.3617185
72,3,347,0.3273302
73,2,349,0.3347322
74,2,356,0.2871163
75,5,374,0.3333924
76,9,385,0.2981618
77,9,391,0.3178737
78,11,401,0.3143108
79,10,397,0.2992324
80,10,405,0.3288522
81,9,411,0.3271075
82,9,425,0.3273685
83,9,428,0.333918
84,10,438,0.2884743
85,12,437,0.3017781
86,11,441,0.3269669
87,13,440,0.3197128
88,15,435,0.2934697
89,9,440,0.2911777
90,9,416,0.3055459
91,9,415,0.3074436
92,9,413,0.3249031
93,10,419,0.2980211
94,10,406,0.3336458
95,9,400,0.2978168
96,6,394,0.3191005
97,11,386,0.3295302
98,11,385,0.2800364
99,11,384,0.3414102
100,11,374,0.3273019
101,7,371,0.3133476
102,9,358,0.3401208
103,9,343,0.3004461
104,9,330,0.2891395
105,10,328,0.2988464
106,9,331,0.3328115
107,11,326,0.3063852
108,8,317,0.3482675
109,7,295,0.346192
110,5,289,0.3299456
111,6,273,0.3453556
112,4,275,0.3554674
113,7,262,0.3538601
114,6,247,0.3510244
115,6,238,0.3571199
116,3,222,0.342052
117,3,214,0.3666236
118,3,204,0.3665742
119,1,195,0.3665252
120,1,186,0.3664834
121,2,176,0.3505062
122,3,164,0.366418
123,1,159,0.3663788
124,2,148,0.3663321
125,2,145,0.3528296
126,2,141,0.3662274
127,1,138,0.3661755
128,1,133,0.3661183
129,1,130,0.36605
130,1,128,0.3659713
131,1,126,0.3659006
132,1,127,0.3658228
133,1,125,0.3657433
134,1,126,0.3656739
135,1,127,0.3656075
136,1,126,0.3655481
137,1,126,0.3654913
138,1,126,0.3654413
139,1,127,0.3653795
140,1,128,0.3653129
141,1,128,0.3652539
142,1,129,0.3651932
143,1,126,0.365153
144,1,126,0.3651102
145,1,126,0.3650728
146,1,127,0.3650212
147,1,128,0.3649668
148,1,128,0.3649187
149,1,127,0.3648623
150,1,127,0.3648241
151,1,128,0.364783
152,1,130,0.364742
153,1,131,0.3647044
154,1,131,0.3646727
155,1,131,0.3500792
156,1,135,0.2170814
157,1,136,0.08689452
158,2,136,0.03179598
159,4,137,0.03148389
160,4,141,0.0311749
161,5,142,0.03086114
162,6,146,0.01660705
163,7,145,0.01566792
164,7,142,0.001700044
165,8,139,0.01378012
166,9,140,0.01284504
167,11,149,0.01191401
168,14,143,0.01099205
169,14,149,0.0100739
170,11,146,0.009154081
171,12,153,0.008239985
172,11,152,0.007331133
173,11,140,0.0062121
174,12,136,0.003615096
175,12,130,0.001023203
176,13,129,0.0015717
177,16,132,0.004162997
178,15,124,0.007226944
179,19,128,0.00365901
180,18,121,9.000301E-05
181,16,123,0.003477931
182,20,131,0.007045984
183,21,132,0.01060796
184,20,117,0.01143599
185,22,109,0.01122713
186,20,109,0.01102161
187,27,106,0.01080704
188,29,96,0.01059484
189,23,85,0.01036906
190,20,79,0.01014709
191,20,83,0.0001108646
192,16,78,0.0004451275
193,14,74,0.001004934
194,13,64,0.001577854
195,8,48,0.002133131
196,6,34,0.002688885
197,3,28,0.001837015
198,3,22,5.102158E-05
199,4,20,0.00117588
200,4,17,0.00170517
201,3,12,0.009545088
202,2,4,0.01498199
203,0,1,0.9989151
204,0,2,0.8565711
205,0,1,0.8552879
206,0,1,0.8462989
207,0,0,1.22024
208,0,0,1.716977
