Timestep,Collisions,Density,Minimum_Separation
0,12,322,0.2558336
1,12,322,0.2674999
2,12,322,0.2849998
3,12,282,0.3144255
4,12,282,0.3651962
5,0,270,0.4448051
6,0,270,0.553441
7,0,270,0.6831284
8,0,270,0.75
9,0,270,0.75
10,0,270,0.75
11,0,270,0.75
12,0,270,0.75
13,0,270,0.75
14,0,270,0.75
15,0,270,0.75
16,0,270,0.75
17,0,270,0.75
18,0,270,0.75
19,0,270,0.75
20,0,270,0.75
21,0,270,0.75
22,0,270,0.75
23,0,270,0.75
24,0,270,0.75
25,0,270,0.75
26,0,270,0.75
27,0,270,0.75
28,0,270,0.75
29,0,270,0.75
30,0,270,0.75
31,0,270,0.75
32,0,270,0.75
33,0,270,0.75
34,0,270,0.75
35,0,270,0.75
36,0,270,0.75
37,0,270,0.75
38,0,270,0.75
39,0,270,0.75
40,0,270,0.75
41,0,270,0.75
42,0,270,0.75
43,0,270,0.75
44,0,270,0.75
45,0,270,0.75
46,0,270,0.75
47,0,270,0.75
48,0,272,0.7372058
49,0,272,0.7204641
50,0,306,0.7185479
51,0,290,0.7222308
52,0,301,0.7288055
53,0,311,0.7367517
54,0,317,0.6991951
55,0,321,0.5325797
56,0,343,0.4291697
57,9,378,0.3790525
58,19,394,0.3749852
59,6,410,0.389401
60,0,437,0.4103974
61,14,467,0.3775731
62,30,471,0.37163
63,21,490,0.3765901
64,3,502,0.3822416
65,7,536,0.3770956
66,31,547,0.3787531
67,26,546,0.3716557
68,22,538,0.3693144
69,12,549,0.3760841
70,14,552,0.379651
71,15,540,0.380558
72,12,551,0.3760854
73,10,543,0.3796302
74,11,527,0.3771356
75,13,511,0.3797811
76,9,492,0.3844506
77,6,479,0.3885331
78,3,461,0.3914164
79,4,441,0.3930467
80,5,428,0.3932328
81,5,409,0.393824
82,3,398,0.3946807
83,2,383,0.3966675
84,2,369,0.3989397
85,1,362,0.3995628
86,1,346,0.3997604
87,1,322,0.3998459
88,0,318,0.4003317
89,0,313,0.4001823
90,0,305,0.401034
91,0,300,0.4001299
92,0,295,0.4006534
93,0,291,0.4001733
94,0,281,0.4000106
95,0,277,0.4000397
96,0,272,0.4000099
97,0,265,0.400039
98,0,264,0.4000093
99,0,262,0.4000389
100,0,260,0.4000112
101,0,255,0.400279
102,0,252,0.4005751
103,0,247,0.400802
104,0,245,0.400926
105,1,243,0.3999553
106,0,237,0.4002277
107,0,240,0.4000753
108,0,237,0.4000003
109,1,234,0.3979786
110,1,233,0.3981038
111,1,229,0.3990498
112,0,227,0.4005494
113,0,225,0.4006401
114,0,224,0.4002627
115,0,222,0.4012783
116,0,219,0.4013719
117,0,218,0.4013927
118,0,216,0.4014303
119,0,212,0.4007626
120,0,208,0.4009281
121,0,207,0.4031893
122,0,205,0.4004442
123,0,203,0.4026319
124,0,196,0.4000728
125,0,196,0.4002027
126,0,192,0.4002229
127,0,190,0.4007111
128,0,188,0.4002018
129,0,187,0.4028946
130,0,184,0.4055504
131,0,181,0.4092215
132,0,176,0.4138829
133,0,177,0.4195026
134,0,177,0.420595
135,0,180,0.4183612
136,2,178,0.3121642
137,1,168,0.1980101
138,1,170,0.08859885
139,1,174,0.0722208
140,3,175,0.07092977
141,2,173,0.1438246
142,2,176,0.0684042
143,6,168,0.02758384
144,6,167,0.02697802
145,11,166,0.02637196
146,11,169,0.0257659
147,11,168,0.02516103
148,15,175,0.02455497
149,14,167,0.02394891
150,17,168,0.02334285
151,20,174,0.02273679
152,24,169,0.02213192
153,25,168,0.02152586
154,21,152,0.02038723
155,24,150,0.02031398
156,21,134,0.003695965
157,22,133,0.003764987
158,19,122,0.003834009
159,18,114,0.003903031
160,19,113,0.001453042
161,16,109,0.001388907
162,19,107,0.001325965
163,17,100,0.001263022
164,17,102,0.001199007
165,15,93,0.001135945
166,9,74,0.001073003
167,10,72,0.001008987
168,10,73,0.0009450912
169,8,66,0.0008831024
170,5,57,0.0008189678
171,2,48,0.3170731
172,2,44,0.3264031
173,2,43,0.351784
174,1,39,0.2702851
175,1,37,0.1618531
176,2,38,0.1159431
177,1,35,0.09100997
178,1,37,0.06606317
179,1,37,0.04111409
180,1,37,0.01616693
181,1,36,0.008780003
182,2,37,0.033728
183,3,36,0.05867302
184,4,38,0.08361995
185,3,32,0.108565
186,3,32,0.1335111
187,3,33,0.1573629
188,3,35,0.156492
189,5,38,0.155622
190,3,35,0.1603225
191,4,30,0.1500215
192,3,27,0.1397115
193,3,25,0.1293923
194,4,27,0.1190636
195,6,31,0.1087252
196,9,32,0.09589815
197,7,30,0.0558629
198,6,34,0.0336628
199,7,30,0.05157804
200,7,30,0.0567418
201,10,32,0.04634449
202,8,30,0.0050188
203,10,27,0.01919937
204,9,20,0.003771782
205,9,22,0.00553
206,9,27,0.0044007
207,10,28,0.0142363
208,10,32,0.02390739
209,13,37,0.007827044
210,10,29,0.009257793
211,10,29,0.03903103
212,12,34,0.02858901
213,8,27,0.06710315
214,13,42,0.01683807
215,13,39,0.02243304
216,9,29,0.027879
217,12,36,0.001895294
218,11,34,0.002906084
219,8,28,0.03373694
220,7,24,0.02645397
