Timestep,Collisions,Density,Minimum_Separation
0,0,310,0.75
1,0,313,0.7492914
2,0,319,0.7276933
3,0,335,0.6516829
4,0,332,0.6542404
5,0,327,0.6119455
6,0,318,0.5185787
7,0,309,0.6140555
8,1,304,0.4922364
9,1,304,0.3839751
10,1,298,0.446413
11,0,294,0.5427411
12,0,284,0.6475136
13,0,281,0.7302938
14,0,277,0.7268705
15,0,275,0.7055217
16,0,269,0.7042367
17,0,263,0.7281922
18,0,261,0.7287313
19,0,255,0.7076958
20,0,252,0.6566095
21,0,251,0.6788083
22,0,246,0.6871506
23,0,239,0.7200244
24,0,235,0.7381976
25,0,228,0.7358221
26,0,230,0.7052256
27,0,228,0.7286553
28,0,225,0.7151019
29,0,221,0.7058533
30,0,219,0.7219281
31,0,216,0.7366183
32,0,206,0.7367557
33,0,205,0.7500013
34,0,200,0.7369173
35,0,196,0.716611
36,0,196,0.6591551
37,0,193,0.6591139
38,0,195,0.6591101
39,0,195,0.6591404
40,0,190,0.7065322
41,0,189,0.7294369
42,0,188,0.702168
43,0,187,0.7021698
44,0,184,0.6889237
45,0,182,0.7499976
46,0,183,0.7476256
47,0,189,0.7407995
48,0,185,0.7500029
49,0,182,0.7081557
50,0,182,0.7499933
51,0,188,0.7285875
52,0,186,0.7373022
53,0,183,0.7477779
54,0,185,0.7500002
55,0,187,0.7523021
56,0,188,0.7443511
57,0,191,0.685474
58,0,189,0.7500007
59,0,190,0.728404
60,0,182,0.7395149
61,0,182,0.746364
62,0,185,0.7229253
63,0,187,0.7331239
64,0,186,0.749974
65,0,195,0.7431943
66,0,191,0.7436559
67,0,191,0.6964529
68,0,198,0.6964679
69,0,203,0.6965399
70,0,207,0.7245151
71,0,213,0.7329106
72,0,218,0.7150491
73,0,210,0.6892976
74,0,219,0.7115056
75,0,222,0.7252339
76,0,224,0.6314282
77,0,227,0.6499035
78,0,223,0.6931417
79,0,224,0.7113535
80,0,228,0.7278772
81,0,222,0.7307093
82,0,211,0.7394924
83,0,218,0.7165741
84,0,223,0.6254716
85,0,216,0.5370541
86,1,208,0.4801789
87,1,208,0.4930292
88,0,211,0.5921798
89,0,209,0.7516862
90,0,215,0.6781438
91,0,213,0.6083788
92,0,212,0.647285
93,0,210,0.7019581
94,0,208,0.697161
95,0,207,0.7164566
96,0,208,0.7340329
97,0,203,0.7458475
98,0,201,0.7074638
99,0,198,0.6124431
100,0,195,0.6125256
101,0,193,0.6125308
102,0,187,0.6300057
103,0,181,0.6452489
104,0,175,0.6507839
105,0,169,0.6865267
106,0,171,0.6580278
107,0,173,0.6709579
108,0,175,0.7045795
109,0,170,0.7229338
110,0,173,0.7227241
111,0,166,0.7449577
112,0,160,0.7499998
113,0,152,0.7522841
114,0,152,0.752836
115,0,150,0.7515993
116,0,143,0.7515706
117,0,148,0.7503828
118,0,151,0.7539197
119,0,149,0.749812
120,0,140,0.7500015
121,0,133,0.7509434
122,0,131,0.7460238
123,0,134,0.7539348
124,0,129,0.7241055
125,0,125,0.6613716
126,0,125,0.6977066
127,0,122,0.5714622
128,0,119,0.5854829
129,0,109,0.6190376
130,1,107,0.4952193
131,0,100,0.5521002
132,0,99,0.6731201
133,0,90,0.7521774
134,0,90,0.7493543
135,0,88,0.7036985
136,0,84,0.7485784
137,0,75,0.7510716
138,0,74,0.7446942
139,0,73,0.7500033
140,0,70,0.7188635
141,0,72,0.7214422
142,0,69,0.7499973
143,0,67,0.7507216
144,0,64,0.7429088
145,0,63,0.7499956
146,0,63,0.7509454
147,0,59,0.7500619
148,0,56,0.7507089
149,0,58,0.750616
150,0,57,0.7505574
151,0,56,0.7504801
152,0,52,0.7504275
153,0,51,0.7503856
154,0,47,0.6842797
155,0,46,0.7118914
156,0,45,0.7499979
157,0,42,0.7624463
158,0,41,0.7624288
159,0,37,0.7623998
160,0,34,0.7621065
161,0,34,0.761848
162,0,34,0.7616192
163,0,33,0.7625211
164,0,31,0.75284
165,0,31,0.7528093
166,0,29,0.7527942
167,0,29,0.7728557
168,0,29,0.7836815
169,0,29,0.7908016
170,0,29,0.7972294
171,0,27,0.798461
172,0,24,0.7995839
173,0,24,0.8005776
174,0,23,0.7947407
175,0,23,0.7943227
176,0,23,0.7961093
177,0,21,0.7977225
178,0,20,0.7991675
179,0,18,0.8004732
180,0,18,0.8016597
181,0,18,0.7997905
182,0,16,0.7876107
183,0,15,0.7502978
184,0,15,0.7851071
185,0,15,0.800565
186,0,12,0.8008244
187,0,12,0.8010685
188,0,7,0.8012814
189,0,7,0.8014661
190,0,6,0.8016363
191,0,6,0.8018016
192,0,5,0.8019405
193,0,5,0.8020719
194,0,5,0.8021784
195,0,3,1.000904
196,0,3,1.000913
197,0,2,1.398883
198,0,2,1.398812
199,0,1,1.398761
200,0,1,1.39872
201,0,1,1.398688
202,0,0,1.909763
203,0,0,1.910037
204,0,0,1.910289
205,0,0,1.910518
206,0,0,1.910713
207,0,0,1.910896
208,0,0,1.911057
209,0,0,6.550514
210,0,0,9.333669
211,0,0,9.722764
212,0,0,10.11287
213,0,0,10.50388
214,0,0,10.89573
215,0,0,11.28831
216,0,0,11.68157
217,0,0,12.07542
218,0,0,12.46983
219,0,0,12.86473
220,0,0,13.26009
221,0,0,13.65583
222,0,0,14.05195
223,0,0,14.44839
224,0,0,14.84514
225,0,0,15.24216
226,0,0,15.63942
227,0,0,16.0369
228,0,0,16.43459
