Timestep,Collisions,Density,Minimum_Separation
0,12,322,0.2558336
1,12,322,0.2674999
2,12,322,0.2849998
3,12,282,0.3144255
4,12,282,0.3574409
5,0,266,0.4008055
6,0,260,0.4440603
7,0,246,0.4870939
8,0,246,0.5298929
9,0,246,0.5884994
10,0,240,0.6538985
11,0,240,0.7195847
12,0,240,0.7268074
13,0,236,0.7174144
14,0,224,0.7305871
15,0,204,0.7435839
16,0,200,0.7449381
17,0,192,0.7351997
18,0,190,0.7360132
19,0,190,0.7424508
20,0,186,0.7439321
21,0,178,0.7440426
22,0,174,0.7389159
23,0,176,0.7276187
24,0,172,0.7166986
25,0,172,0.7061415
26,0,168,0.6972752
27,0,168,0.6873661
28,0,160,0.6920538
29,0,156,0.692358
30,0,154,0.6923819
31,0,150,0.683423
32,0,142,0.673975
33,0,140,0.6648417
34,0,138,0.6560149
35,0,134,0.647481
36,0,132,0.6392307
37,0,132,0.6312561
38,0,130,0.638155
39,0,128,0.6461148
40,0,128,0.6459179
41,0,126,0.6439309
42,0,126,0.6418209
43,0,126,0.6396599
44,0,126,0.6374798
45,0,124,0.6352883
46,0,122,0.6331253
47,0,122,0.6308188
48,0,122,0.6284719
49,0,122,0.6261258
50,0,123,0.623765
51,0,126,0.6213422
52,0,127,0.618763
53,0,131,0.6160021
54,0,140,0.6130109
55,0,147,0.6097102
56,0,146,0.5357751
57,0,149,0.4313989
58,0,148,0.4005433
59,0,154,0.4282798
60,0,159,0.4519931
61,0,161,0.408041
62,2,169,0.391076
63,4,172,0.3873568
64,5,176,0.3906826
65,4,182,0.389268
66,3,188,0.391423
67,6,197,0.3930167
68,8,200,0.3885248
69,7,212,0.3868263
70,5,216,0.3880495
71,4,221,0.3910238
72,5,224,0.393815
73,5,230,0.3933618
74,5,241,0.3929946
75,5,255,0.3942952
76,6,261,0.3956563
77,6,270,0.3963039
78,5,271,0.3971063
79,6,275,0.3960235
80,4,283,0.3967879
81,2,286,0.3974349
82,2,289,0.3986152
83,2,294,0.3982082
84,1,298,0.3980983
85,1,300,0.3987351
86,1,308,0.3995183
87,0,321,0.4005287
88,0,328,0.4006635
89,1,334,0.3976189
90,0,341,0.4035138
91,1,344,0.3969182
92,2,353,0.398536
93,2,356,0.3968589
94,2,364,0.3951757
95,2,368,0.3971444
96,1,372,0.399576
97,1,383,0.397234
98,1,387,0.3932736
99,1,390,0.3931383
100,1,389,0.3946601
101,1,389,0.397126
102,1,394,0.3998763
103,0,394,0.4010309
104,0,402,0.4000185
105,0,397,0.4012957
106,0,393,0.4008046
107,0,392,0.4009643
108,0,395,0.4029779
109,0,394,0.4010148
110,1,392,0.3985982
111,0,392,0.4000225
112,0,386,0.4001316
113,0,386,0.4
114,0,386,0.4000024
115,2,387,0.3993668
116,3,381,0.3975555
117,2,377,0.3976424
118,3,375,0.3970359
119,2,372,0.3975267
120,2,365,0.3982589
121,1,365,0.3987749
122,2,366,0.3986392
123,2,358,0.3987817
124,3,352,0.3992705
125,2,353,0.3998596
