Timestep,Collisions,Density,Minimum_Separation
0,12,322,0.2768002
1,12,322,0.3250399
2,12,322,0.3904314
3,0,310,0.4695454
4,0,310,0.5596361
5,0,310,0.6585093
6,0,310,0.75
7,0,310,0.75
8,0,310,0.75
9,0,310,0.7499995
10,0,310,0.75
11,0,310,0.749999
12,0,310,0.749999
13,0,310,0.749999
14,0,310,0.749999
15,0,310,0.749999
16,0,310,0.7499995
17,0,310,0.7499995
18,0,310,0.75
19,0,310,0.75
20,0,310,0.75
21,0,310,0.75
22,0,310,0.75
23,0,310,0.75
24,0,310,0.75
25,0,310,0.75
26,0,310,0.75
27,0,310,0.75
28,0,310,0.75
29,0,310,0.75
30,0,310,0.75
31,0,310,0.75
32,0,310,0.7499998
33,0,310,0.75
34,0,310,0.75
35,0,310,0.7499998
36,0,310,0.7499998
37,0,310,0.75
38,0,310,0.75
39,0,310,0.75
40,0,310,0.75
41,0,310,0.75
42,0,310,0.75
43,0,310,0.749999
44,0,310,0.7499988
45,0,310,0.75
46,0,310,0.75
47,0,310,0.7499999
48,0,310,0.75
49,0,310,0.7499998
50,0,310,0.7499989
51,0,310,0.75
52,0,310,0.7
53,0,310,0.7
54,0,310,0.6999996
55,0,319,0.6798984
56,0,320,0.7000002
57,0,336,0.6499994
58,0,341,0.6793519
59,0,341,0.6209561
60,0,341,0.61296
61,0,341,0.604965
62,0,341,0.59697
63,0,341,0.588976
64,0,341,0.577318
65,0,341,0.5656611
66,0,341,0.5535151
67,0,341,0.541369
68,0,341,0.5722532
69,0,339,0.51202
70,0,341,0.5440214
71,0,339,0.476023
72,0,337,0.5080246
73,0,347,0.4400262
74,0,349,0.4720278
75,0,347,0.4040294
76,0,347,0.4360308
77,9,345,0.3680324
78,0,345,0.400034
79,9,357,0.3320356
80,9,347,0.364037
81,11,357,0.3360382
82,0,347,0.4080394
83,11,359,0.3600698
84,2,367,0.3920722
85,2,357,0.3635126
86,0,367,0.434953
87,8,343,0.393904
88,0,369,0.43674
89,8,347,0.379578
90,0,365,0.422416
91,8,351,0.365253
92,2,357,0.388089
93,8,357,0.3509279
94,6,367,0.3396606
95,4,361,0.3654463
96,6,361,0.3860411
97,4,368,0.333355
98,2,365,0.3806688
99,2,370,0.3493579
100,3,369,0.3960162
101,0,371,0.4051825
102,0,371,0.4492365
103,0,373,0.4387069
104,0,369,0.4263748
105,0,373,0.4096206
106,2,372,0.3913641
107,1,376,0.3988024
108,0,377,0.4285656
109,2,387,0.3840167
110,1,381,0.3518736
111,3,384,0.3559944
112,1,382,0.3056074
113,1,383,0.3552202
114,1,384,0.340902
115,2,400,0.3327344
116,2,394,0.3429094
117,2,390,0.277311
118,1,391,0.3117128
119,2,392,0.2832342
120,2,396,0.3547558
121,2,395,0.3210514
122,2,401,0.3211228
123,3,393,0.2879012
124,2,403,0.2828066
125,2,397,0.2578872
126,2,397,0.293868
127,4,397,0.269055
128,4,405,0.2990338
129,4,399,0.340292
130,4,399,0.2958532
131,4,407,0.3445726
132,4,409,0.3135606
133,4,405,0.370234
134,5,405,0.3668876
135,2,397,0.3735055
136,4,389,0.3691479
137,2,384,0.3112411
138,2,387,0.3836712
139,0,392,0.4297771
140,2,401,0.3867133
141,0,393,0.4069454
142,2,391,0.3923639
143,2,393,0.3896936
144,0,384,0.4243496
145,0,379,0.418097
146,1,379,0.3925052
147,0,373,0.407011
148,1,375,0.3263332
149,2,375,0.3456554
150,1,369,0.3031808
151,1,371,0.3607064
152,3,365,0.353201
153,1,369,0.3883434
154,0,369,0.422004
155,4,371,0.3728474
156,0,377,0.4236908
157,1,382,0.3838964
158,0,380,0.423805
159,0,376,0.4315788
160,1,372,0.3725526
161,0,372,0.4135264
162,0,377,0.4282302
163,2,368,0.3580422
164,2,371,0.370946
165,2,376,0.379823
166,0,374,0.4314697
167,1,374,0.3774118
168,2,372,0.3886098
169,1,378,0.3439742
