participant_id,agent_type,group,modality,voice,distance,word
0,0,0,0,0,1.741528,Rabbit
0,0,0,2,0,2.313717,Rabbit
0,0,0,1,0,2.162272,Rabbit
0,0,0,1,0,2.00211,Dream
0,0,0,0,1,2.999914, TOO_NEAR
0,0,0,0,1,2.999408, TOO_NEAR
0,0,0,0,1,2.997116, TOO_NEAR
0,0,0,0,1,2.999797, TOO_NEAR
0,0,0,0,1,2.999944, TOO_NEAR
0,0,0,0,1,3.667504,Hotel
0,0,0,1,1,2.992118, TOO_NEAR
0,0,0,1,1,3.415169,Calculator
0,0,0,1,1,2.997813, TOO_NEAR
0,0,0,1,1,2.791647,Football
0,0,0,2,1,2.999558, TOO_NEAR
0,0,0,2,1,2.976643,Vegas
0,0,0,2,1,2.995064, TOO_NEAR
0,0,0,2,1,3.770815,Calculator
0,1,1,0,0,3.836595,Icecream
0,1,1,2,0,2.853778,Holiday
0,1,1,1,0,2.907185,Brains
0,1,1,1,0,2.708824,Rabbit
0,1,1,0,1,2.992651, TOO_NEAR
0,1,1,0,1,2.77057,Pizza
0,1,1,1,1,3.23033,Holiday
0,1,1,1,1,3.14345,Hotel
0,1,1,1,1,2.999706, TOO_NEAR
0,1,1,2,1,3.092672,Calculator
0,1,1,2,1,2.998952, TOO_NEAR
0,1,1,2,1,2.952696,Android
1,0,0,0,0,1.223713,Seaside
1,0,0,1,0,1.102413,Pizza
1,0,0,1,0,0.9660906,Aquarium
1,0,0,2,0,0.8537182,Android
1,0,0,0,1,2.992939, TOO_NEAR
1,0,0,0,1,3.505939,Garlic
1,0,0,2,1,2.997355, TOO_NEAR
1,0,0,2,1,3.286982,Brains
1,0,0,1,1,2.994987, TOO_NEAR
1,0,0,1,1,3.521713,Zombie
1,1,1,2,0,3.48283,Vegas
1,1,1,1,0,1.191872,Garlic
1,1,1,1,0,1.406368,Pizza
1,1,1,0,1,2.999904, TOO_NEAR
1,1,1,0,1,4.014062,Football
1,1,1,2,1,3.422838,Aquarium
1,1,1,1,1,3.267297,Orchestra
1,1,1,1,1,3.343735,Football
2,0,0,0,0,1.623305,Seaside
2,0,0,2,0,1.510699,Holiday
2,0,0,2,0,1.816206,Aquarium
2,0,0,1,0,1.571083,Brains
2,0,0,1,0,1.538621,Android
2,0,0,0,1,1.476489,Tent
2,0,0,0,1,2.997602, TOO_NEAR
2,0,0,0,1,2.999076, TOO_NEAR
2,0,0,1,1,3.613554,Hotel
2,0,0,1,1,2.999699, TOO_NEAR
2,0,0,1,1,3.697972,Clown
2,0,0,2,1,3.550447,Rabbit
2,0,0,2,1,3.948387,Tent
2,1,1,0,0,3.399847,Pizza
2,1,1,1,0,3.010422,Icecream
2,1,1,1,0,3.243413,Orchestra
2,1,1,2,0,3.360641,Calculator
2,1,1,2,0,3.314456,Jetpack
2,1,1,0,1,3.366095,Garlic
2,1,1,2,1,3.394689,Zombie
2,1,1,2,1,3.405847,Tent
2,1,1,1,1,3.435636,Pizza
2,1,1,1,1,3.45663,Calculator
3,1,0,0,0,1.055971,Android
3,1,0,1,0,0.9094993,Aquarium
3,1,0,1,0,0.7137533,Icecream
3,1,0,2,0,0.7482153,Garlic
3,1,0,2,0,0.6648829,Brains
3,1,0,0,1,0.6904207,Tent
3,1,0,2,1,1.122203,Icecream
3,1,0,2,1,0.7873806,Clown
3,1,0,1,1,1.059715,Hotel
3,1,0,1,1,0.8532833,Icecream
3,0,1,0,0,1.14219,Zombie
3,0,1,1,0,1.109673,Tent
3,0,1,1,0,1.062404,Football
3,0,1,2,0,0.9944952,Hotel
3,0,1,2,0,1.257802,Calculator
3,0,1,0,1,2.552034, TOO_NEAR
3,0,1,0,1,1.258329,Zombie
3,0,1,2,1,1.186505,Aquarium
3,0,1,2,1,0.9191629,Pizza
3,0,1,1,1,1.053099,Orchestra
3,0,1,1,1,0.9805238,Icecream
4,1,0,0,0,1.272095,Seaside
4,1,0,2,0,1.436729,Orchestra
4,1,0,2,0,1.458585,Tent
4,1,0,1,0,1.590118,Android
4,1,0,1,0,1.717185,Aquarium
4,1,0,0,1,2.993638, TOO_NEAR
4,1,0,0,1,2.880932,Football
